code,FacebookAI/xlm-roberta-large_max,FacebookAI/xlm-roberta-large_mean,avg
mqy_Latn,0.0194,0.0043,0.0194
zai_Latn,0.0194,0.0124,0.0194
kan_Latn,0.0,0.0,0.0
sgw_Ethi,0.0194,0.0035,0.0194
kqp_Latn,0.0097,0.0039,0.0097
nct_Latn,0.0097,0.0066,0.0097
uzb_Cyrl,0.0097,0.0031,0.0097
sri_Latn,0.0,0.0,0.0
dan_Latn,0.932,0.5961,0.932
swg_Latn,0.1942,0.0641,0.1942
hif_Latn,0.0583,0.0217,0.0583
stp_Latn,0.0,0.0,0.0
ffm_Latn,0.0097,0.0012,0.0097
nus_Latn,0.0,0.0,0.0
taw_Latn,0.0097,0.0004,0.0097
ckb_Arab,0.0097,0.0031,0.0097
kmk_Latn,0.0291,0.0089,0.0291
sme_Latn,0.0097,0.0012,0.0097
mri_Latn,0.0,0.0,0.0
mtp_Latn,0.0,0.0,0.0
chr_Latn,0.0097,0.0035,0.0097
shk_Latn,0.0,0.0,0.0
zpo_Latn,0.0194,0.0039,0.0194
kiz_Latn,0.0291,0.0101,0.0291
meq_Latn,0.0097,0.0008,0.0097
ann_Latn,0.0,0.0,0.0
bch_Latn,0.0194,0.0062,0.0194
nhw_Latn,0.0097,0.0023,0.0097
ckt_Cyrl,0.0,0.0,0.0
tzj_Latn,0.0,0.0,0.0
beq_Latn,0.0097,0.0023,0.0097
ikw_Latn,0.0097,0.0004,0.0097
xrb_Latn,0.0097,0.0008,0.0097
cot_Latn,0.0097,0.0016,0.0097
som_Latn,0.2621,0.0967,0.2621
mit_Latn,0.0097,0.0019,0.0097
mjc_Latn,0.0097,0.0047,0.0097
bom_Latn,0.0097,0.0004,0.0097
blz_Latn,0.0194,0.0132,0.0194
kua_Latn,0.0388,0.0089,0.0388
spa_Latn,0.7184,0.4047,0.7184
var_Latn,0.0,0.0,0.0
gkn_Latn,0.0097,0.0004,0.0097
leh_Latn,0.0194,0.0047,0.0194
cso_Latn,0.0097,0.0004,0.0097
crm_Cans,0.0097,0.0016,0.0097
rim_Latn,0.0194,0.0058,0.0194
jic_Latn,0.0,0.0,0.0
acu_Latn,0.0097,0.0027,0.0097
cth_Latn,0.0097,0.005,0.0097
tav_Latn,0.0,0.0,0.0
mxt_Latn,0.0097,0.0016,0.0097
stq_Latn,0.0388,0.0186,0.0388
hig_Latn,0.0,0.0,0.0
yrk_Cyrl,0.0,0.0,0.0
ncu_Latn,0.0,0.0,0.0
plg_Latn,0.0,0.0,0.0
cax_Latn,0.0194,0.0058,0.0194
crq_Latn,0.0,0.0,0.0
kao_Latn,0.0097,0.0008,0.0097
tgo_Latn,0.0097,0.0012,0.0097
shj_Latn,0.0194,0.0023,0.0194
jav_Latn,0.301,0.1033,0.301
zao_Latn,0.0097,0.0027,0.0097
nii_Latn,0.0,0.0,0.0
nlg_Latn,0.0291,0.0117,0.0291
nop_Latn,0.0097,0.0004,0.0097
dks_Latn,0.0194,0.0047,0.0194
