code,FacebookAI/xlm-roberta-large_max,FacebookAI/xlm-roberta-large_mean,avg
maa_Latn,0.0097,0.0016,0.0097
aii_Syrc,0.0097,0.0004,0.0097
nno_Latn,0.6311,0.2967,0.6311
jvn_Latn,0.1553,0.059,0.1553
dob_Latn,0.0097,0.0008,0.0097
waj_Latn,0.0097,0.0019,0.0097
bci_Latn,0.0194,0.005,0.0194
imo_Latn,0.0,0.0,0.0
agd_Latn,0.0,0.0,0.0
pmx_Latn,0.0194,0.0027,0.0194
biu_Latn,0.0097,0.0012,0.0097
prs_Arab,0.6699,0.3033,0.6699
ssw_Latn,0.0388,0.0136,0.0388
nds_Latn,0.0388,0.0132,0.0388
myk_Latn,0.0,0.0,0.0
sun_Latn,0.1748,0.0788,0.1748
wca_Latn,0.0097,0.0004,0.0097
vid_Latn,0.0097,0.0043,0.0097
nij_Latn,0.0291,0.0113,0.0291
mwe_Latn,0.0097,0.0012,0.0097
ald_Latn,0.0,0.0,0.0
shi_Latn,0.0,0.0,0.0
snp_Latn,0.0,0.0,0.0
nld_Latn,0.9515,0.6171,0.9515
fuf_Latn,0.0097,0.0008,0.0097
bnp_Latn,0.0194,0.0101,0.0194
swe_Latn,0.7476,0.414,0.7476
tuk_Cyrl,0.1262,0.0431,0.1262
mhi_Latn,0.0194,0.0097,0.0194
tgl_Latn,0.6699,0.28,0.6699
gid_Latn,0.0194,0.0085,0.0194
quh_Latn,0.0194,0.0105,0.0194
oym_Latn,0.0,0.0,0.0
kal_Latn,0.0194,0.0027,0.0194
sab_Latn,0.0097,0.0012,0.0097
eng_Latn,1.0,1.0,1.0
tte_Latn,0.0097,0.0008,0.0097
emp_Latn,0.0,0.0,0.0
vap_Latn,0.0,0.0,0.0
biv_Latn,0.0097,0.0043,0.0097
agg_Latn,0.0,0.0,0.0
fai_Latn,0.0,0.0,0.0
ted_Latn,0.0,0.0,0.0
gnb_Latn,0.0,0.0,0.0
yap_Latn,0.0097,0.0047,0.0097
ses_Latn,0.0097,0.0062,0.0097
iqw_Latn,0.0,0.0,0.0
cut_Latn,0.0097,0.0047,0.0097
tpt_Latn,0.0097,0.0012,0.0097
ndp_Latn,0.0097,0.0016,0.0097
pkb_Latn,0.0388,0.0155,0.0388
lsm_Latn,0.0194,0.0031,0.0194
nnl_Latn,0.0097,0.0012,0.0097
