code,Qwen/Qwen3.5-9B-Base_max,Qwen/Qwen3.5-9B-Base_mean,avg
myb_Latn,0.0097,0.0021,0.0097
kew_Latn,0.0097,0.0044,0.0097
sey_Latn,0.0291,0.0056,0.0291
cta_Latn,0.0097,0.0021,0.0097
nfr_Latn,0.0291,0.0132,0.0291
hin_Latn,0.2524,0.0727,0.2524
apu_Latn,0.0097,0.0006,0.0097
kpv_Cyrl,0.165,0.0468,0.165
poy_Latn,0.0388,0.0124,0.0388
enm_Latn,0.8544,0.5846,0.8544
caq_Latn,0.0097,0.0018,0.0097
ife_Latn,0.0097,0.0009,0.0097
qub_Latn,0.1262,0.0318,0.1262
kbq_Latn,0.0097,0.0041,0.0097
afr_Latn,0.932,0.589,0.932
crx_Latn,0.0097,0.0056,0.0097
xon_Latn,0.0291,0.0115,0.0291
cop_Copt,0.0097,0.0003,0.0097
huu_Latn,0.0194,0.0062,0.0194
aln_Latn,0.7184,0.3775,0.7184
chz_Latn,0.0097,0.0012,0.0097
aeb_Arab,0.301,0.1309,0.301
xsu_Latn,0.0097,0.0009,0.0097
wer_Latn,0.0097,0.0015,0.0097
dhm_Latn,0.0388,0.0127,0.0388
