code,Qwen/Qwen3.5-9B-Base_max,Qwen/Qwen3.5-9B-Base_mean,avg
crs_Latn,0.2039,0.0791,0.2039
por_Latn,0.9029,0.6549,0.9029
kqs_Latn,0.0194,0.005,0.0194
cgc_Latn,0.0777,0.025,0.0777
mxv_Latn,0.0291,0.005,0.0291
kwj_Latn,0.0097,0.0021,0.0097
kdc_Latn,0.068,0.0206,0.068
sgz_Latn,0.0291,0.0071,0.0291
tbc_Latn,0.0388,0.0079,0.0388
yaq_Latn,0.0097,0.0003,0.0097
kub_Latn,0.0291,0.0091,0.0291
bon_Latn,0.0291,0.0074,0.0291
cek_Latn,0.0194,0.0047,0.0194
fra_Latn,0.9417,0.7137,0.9417
tee_Latn,0.0097,0.0026,0.0097
anm_Latn,0.0194,0.0035,0.0194
zpl_Latn,0.0291,0.0141,0.0291
mfe_Latn,0.2816,0.083,0.2816
kyg_Latn,0.0097,0.0021,0.0097
nmz_Latn,0.0194,0.0056,0.0194
mck_Latn,0.0291,0.0076,0.0291
lin_Latn,0.0777,0.0274,0.0777
alt_Cyrl,0.1748,0.0574,0.1748
nct_Latn,0.0194,0.0053,0.0194
kqp_Latn,0.0291,0.0076,0.0291
uzb_Cyrl,0.5049,0.1898,0.5049
sri_Latn,0.0291,0.0062,0.0291
kan_Latn,0.0388,0.0079,0.0388
sgw_Ethi,0.0291,0.005,0.0291
nus_Latn,0.0097,0.0003,0.0097
ffm_Latn,0.0388,0.0112,0.0388
ckb_Arab,0.2233,0.0741,0.2233
taw_Latn,0.0097,0.0032,0.0097
