code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
ssd_Latn,0.0291,0.0088,0.0291
ksj_Latn,0.0388,0.0079,0.0388
sps_Latn,0.0291,0.0068,0.0291
nwx_Deva,0.0485,0.0124,0.0485
cfm_Latn,0.0485,0.015,0.0485
blh_Latn,0.0097,0.0006,0.0097
kus_Latn,0.0485,0.0159,0.0485
myx_Latn,0.0388,0.0144,0.0388
nwi_Latn,0.0291,0.0065,0.0291
mif_Latn,0.0291,0.0079,0.0291
gom_Latn,0.0485,0.0156,0.0485
dru_Latn,0.0291,0.0068,0.0291
mhy_Latn,0.0485,0.0262,0.0485
acf_Latn,0.1262,0.0438,0.1262
rmn_Latn,0.0291,0.0129,0.0291
mal_Mlym,0.301,0.0738,0.301
fuv_Latn,0.0485,0.0112,0.0485
cak_Latn,0.0291,0.0088,0.0291
ktb_Ethi,0.0,0.0,0.0
plt_Latn,0.0874,0.0277,0.0874
npo_Latn,0.0194,0.0071,0.0194
qvo_Latn,0.0194,0.0094,0.0194
bul_Cyrl,0.8058,0.4946,0.8058
jae_Latn,0.0291,0.0047,0.0291
yom_Latn,0.0388,0.01,0.0388
etu_Latn,0.0291,0.0085,0.0291
pua_Latn,0.0291,0.0127,0.0291
njm_Latn,0.0291,0.0074,0.0291
bar_Latn,0.2427,0.0962,0.2427
guo_Latn,0.0194,0.0068,0.0194
hch_Latn,0.0097,0.0041,0.0097
wuv_Latn,0.0485,0.0185,0.0485
urd_Deva,0.5146,0.2374,0.5146
ppo_Latn,0.0194,0.0021,0.0194
bwu_Latn,0.0194,0.0047,0.0194
lug_Latn,0.068,0.015,0.068
tui_Latn,0.0194,0.0068,0.0194
spp_Latn,0.0097,0.0024,0.0097
ssg_Latn,0.0194,0.0041,0.0194
tew_Latn,0.0291,0.0071,0.0291
ukr_Cyrl,0.8738,0.559,0.8738
mie_Latn,0.0291,0.0088,0.0291
ken_Latn,0.0194,0.0012,0.0194
ndc_Latn,0.0777,0.0247,0.0777
kvg_Latn,0.0194,0.0035,0.0194
mzl_Latn,0.0194,0.005,0.0194
uzb_Latn,0.4757,0.1259,0.4757
kup_Latn,0.0097,0.0003,0.0097
dik_Latn,0.0291,0.0076,0.0291
mpp_Latn,0.0194,0.0079,0.0194
rug_Latn,0.0194,0.0021,0.0194
nmh_Latn,0.0194,0.0047,0.0194
coe_Latn,0.0194,0.0065,0.0194
pam_Latn,0.0777,0.0306,0.0777
dyu_Latn,0.0194,0.0068,0.0194
kor_Latn,0.0097,0.0059,0.0097
oss_Cyrl,0.0485,0.0124,0.0485
slk_Latn,0.6311,0.3063,0.6311
kik_Latn,0.0388,0.0118,0.0388
amh_Latn,0.0194,0.0009,0.0194
pdc_Latn,0.0971,0.0359,0.0971
wbm_Latn,0.0291,0.0094,0.0291
mwv_Latn,0.0291,0.0121,0.0291
njn_Latn,0.0291,0.0085,0.0291
niy_Latn,0.0194,0.0012,0.0194
mta_Latn,0.0291,0.0032,0.0291
mgh_Latn,0.0388,0.0127,0.0388
fin_Latn,0.6117,0.2813,0.6117
yon_Latn,0.0097,0.0024,0.0097
kkc_Latn,0.0097,0.0006,0.0097
snc_Latn,0.0291,0.0076,0.0291
maq_Latn,0.0291,0.0088,0.0291
mbf_Latn,0.4175,0.1853,0.4175
smt_Latn,0.0388,0.0135,0.0388
gul_Latn,0.3981,0.1718,0.3981
tro_Latn,0.0194,0.0053,0.0194
kyu_Mymr,0.0,0.0,0.0
kto_Latn,0.0291,0.0091,0.0291
icr_Latn,0.233,0.0868,0.233
jmc_Latn,0.0388,0.0129,0.0388
ace_Latn,0.0583,0.0212,0.0583
kgf_Latn,0.0291,0.0088,0.0291
isl_Latn,0.5243,0.2148,0.5243
ivb_Latn,0.0388,0.0115,0.0388
kbh_Latn,0.0485,0.0118,0.0485
npl_Latn,0.0583,0.02,0.0583
plw_Latn,0.0388,0.0124,0.0388
lwo_Latn,0.0194,0.005,0.0194
snd_Arab,0.2816,0.0915,0.2816
zos_Latn,0.0388,0.0068,0.0388
ong_Latn,0.0194,0.0062,0.0194
are_Latn,0.0388,0.0144,0.0388
ngu_Latn,0.0583,0.0174,0.0583
mzm_Latn,0.0097,0.0006,0.0097
lex_Latn,0.0291,0.0097,0.0291
nre_Latn,0.0097,0.0053,0.0097
agu_Latn,0.0291,0.0074,0.0291
awk_Latn,0.0194,0.0056,0.0194
nhg_Latn,0.0388,0.0141,0.0388
czt_Latn,0.0291,0.0082,0.0291
arb_Arab,0.6893,0.3369,0.6893
toj_Latn,0.0194,0.0088,0.0194
akp_Latn,0.0194,0.0071,0.0194
ote_Latn,0.0194,0.0024,0.0194
