code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
pbb_Latn,0.0388,0.0076,0.0388
bfo_Latn,0.0194,0.0041,0.0194
dis_Latn,0.0194,0.0059,0.0194
aau_Latn,0.0291,0.0062,0.0291
irk_Latn,0.0485,0.0156,0.0485
crh_Cyrl,0.2136,0.0656,0.2136
mkd_Cyrl,0.8641,0.4678,0.8641
teo_Latn,0.0388,0.0115,0.0388
kpf_Latn,0.0291,0.0068,0.0291
apu_Latn,0.0194,0.0018,0.0194
hin_Latn,0.3592,0.0968,0.3592
nfr_Latn,0.0388,0.0185,0.0388
kpv_Cyrl,0.0583,0.0179,0.0583
cta_Latn,0.0194,0.0029,0.0194
qub_Latn,0.0388,0.0121,0.0388
kbq_Latn,0.0194,0.0041,0.0194
afr_Latn,0.7961,0.4442,0.7961
crx_Latn,0.0194,0.0065,0.0194
xon_Latn,0.0388,0.0144,0.0388
poy_Latn,0.0388,0.0141,0.0388
caq_Latn,0.0194,0.0038,0.0194
enm_Latn,0.8932,0.6034,0.8932
ife_Latn,0.0097,0.0012,0.0097
chz_Latn,0.0194,0.0047,0.0194
cop_Copt,0.0,0.0,0.0
aln_Latn,0.7184,0.3751,0.7184
huu_Latn,0.0291,0.0079,0.0291
btx_Latn,0.0583,0.0247,0.0583
mah_Latn,0.0291,0.0115,0.0291
fon_Latn,0.0194,0.0015,0.0194
wer_Latn,0.0097,0.0003,0.0097
xsu_Latn,0.0194,0.005,0.0194
aeb_Arab,0.233,0.0709,0.233
dhm_Latn,0.0194,0.0071,0.0194
dje_Latn,0.0388,0.0144,0.0388
usp_Latn,0.0291,0.0106,0.0291
pbc_Latn,0.0388,0.0112,0.0388
tik_Latn,0.0194,0.005,0.0194
bug_Latn,0.0485,0.0162,0.0485
akh_Latn,0.0,0.0,0.0
esi_Latn,0.0291,0.0094,0.0291
kje_Latn,0.0388,0.0153,0.0388
arz_Arab,0.8058,0.3875,0.8058
mug_Latn,0.0291,0.0106,0.0291
mvp_Latn,0.0388,0.0118,0.0388
syb_Latn,0.0583,0.0168,0.0583
bjk_Latn,0.0388,0.0121,0.0388
ksp_Latn,0.0291,0.0118,0.0291
nbc_Latn,0.0388,0.0115,0.0388
atd_Latn,0.0388,0.0138,0.0388
ojs_Cans,0.0,0.0,0.0
kpg_Latn,0.0291,0.0088,0.0291
agm_Latn,0.0097,0.0003,0.0097
mhr_Cyrl,0.0777,0.0247,0.0777
sey_Latn,0.0194,0.0071,0.0194
kew_Latn,0.0194,0.0044,0.0194
srp_Cyrl,0.7476,0.3863,0.7476
ndz_Latn,0.0291,0.0059,0.0291
myb_Latn,0.0291,0.0115,0.0291
huv_Latn,0.0291,0.0091,0.0291
mgr_Latn,0.0388,0.0147,0.0388
rar_Latn,0.1165,0.0368,0.1165
tnn_Latn,0.0097,0.0015,0.0097
aoz_Latn,0.0388,0.0185,0.0388
gso_Latn,0.0291,0.0147,0.0291
heh_Latn,0.0291,0.0091,0.0291
zae_Latn,0.0485,0.0106,0.0485
mwl_Latn,0.3495,0.1612,0.3495
mya_Mymr,0.068,0.0171,0.068
xuo_Latn,0.0097,0.0006,0.0097
ebk_Latn,0.0485,0.0215,0.0485
bgr_Latn,0.0388,0.0079,0.0388
mak_Latn,0.0388,0.0132,0.0388
ubr_Latn,0.0485,0.0135,0.0485
yim_Latn,0.0388,0.0082,0.0388
tbk_Latn,0.0388,0.0132,0.0388
got_Latn,0.3398,0.1253,0.3398
tqb_Latn,0.0097,0.0003,0.0097
ktu_Latn,0.0485,0.015,0.0485
car_Latn,0.0388,0.0097,0.0388
hot_Latn,0.0194,0.0038,0.0194
yva_Latn,0.0388,0.0091,0.0388
nsa_Latn,0.0388,0.0082,0.0388
mmn_Latn,0.0583,0.0153,0.0583
kbr_Latn,0.0194,0.005,0.0194
tem_Latn,0.0194,0.0071,0.0194
agn_Latn,0.0583,0.0238,0.0583
awa_Deva,0.2718,0.0847,0.2718
whk_Latn,0.0485,0.0109,0.0485
atg_Latn,0.0194,0.0032,0.0194
naw_Latn,0.0291,0.0021,0.0291
pne_Latn,0.0388,0.0135,0.0388
kss_Latn,0.0097,0.0009,0.0097
kuj_Latn,0.0291,0.0024,0.0291
eza_Latn,0.0485,0.015,0.0485
iri_Latn,0.0291,0.0121,0.0291
dyo_Latn,0.0388,0.0115,0.0388
bud_Latn,0.0194,0.0047,0.0194
tih_Latn,0.0388,0.0121,0.0388
guj_Gujr,0.3592,0.1018,0.3592
hay_Latn,0.068,0.0191,0.068
eus_Latn,0.0777,0.0303,0.0777
tlf_Latn,0.0097,0.0006,0.0097
ary_Arab,0.1748,0.0453,0.1748
knv_Latn,0.0291,0.0012,0.0291
maj_Latn,0.0291,0.0053,0.0291
kma_Latn,0.0291,0.0059,0.0291
smo_Latn,0.0874,0.02,0.0874
bgs_Latn,0.0583,0.0171,0.0583
lbj_Tibt,0.0097,0.0003,0.0097
guw_Latn,0.068,0.0168,0.068
bdd_Latn,0.0388,0.0103,0.0388
zad_Latn,0.0291,0.0056,0.0291
mwm_Latn,0.0291,0.0038,0.0291
cko_Latn,0.0291,0.0026,0.0291
ium_Laoo,0.0,0.0,0.0
mmo_Latn,0.0097,0.0041,0.0097
gil_Latn,0.0291,0.0088,0.0291
yuw_Latn,0.0097,0.0024,0.0097
bkv_Latn,0.0291,0.0091,0.0291
cas_Latn,0.0194,0.0056,0.0194
gyr_Latn,0.0388,0.0129,0.0388
eka_Latn,0.0388,0.0082,0.0388
wol_Latn,0.0485,0.0118,0.0485
dad_Latn,0.0291,0.01,0.0291
hil_Latn,0.3981,0.14,0.3981
apw_Latn,0.0388,0.0103,0.0388
pib_Latn,0.0,0.0,0.0
nuy_Latn,0.0194,0.0062,0.0194
kdj_Latn,0.0388,0.0106,0.0388
cwt_Latn,0.0388,0.0085,0.0388
las_Latn,0.0194,0.0044,0.0194
ceb_Latn,0.4563,0.1527,0.4563
mzw_Latn,0.0388,0.0056,0.0388
sue_Latn,0.0194,0.005,0.0194
tur_Latn,0.6408,0.2919,0.6408
deu_Latn,0.8058,0.4613,0.8058
ksr_Latn,0.0291,0.0047,0.0291
nav_Latn,0.0097,0.0009,0.0097
hnj_Latn,0.0194,0.0038,0.0194
mog_Latn,0.0291,0.0109,0.0291
qwh_Latn,0.0485,0.0168,0.0485
faa_Latn,0.0097,0.0003,0.0097
mlp_Latn,0.0194,0.0047,0.0194
ghs_Latn,0.0097,0.0021,0.0097
gbo_Latn,0.0097,0.0021,0.0097
top_Latn,0.0194,0.0041,0.0194
zsr_Latn,0.0291,0.0082,0.0291
cjp_Latn,0.0388,0.0118,0.0388
dip_Latn,0.0291,0.0059,0.0291
bvr_Latn,0.0388,0.0109,0.0388
esk_Latn,0.0194,0.0109,0.0194
ljp_Latn,0.1262,0.0474,0.1262
mcb_Latn,0.0194,0.0015,0.0194
