code,intfloat/multilingual-e5-base_max,intfloat/multilingual-e5-base_mean,avg
urd_Latn,0.0388,0.0052,0.0388
cnh_Latn,0.3301,0.05,0.3301
azb_Latn,0.9806,0.363,0.9806
bgz_Latn,0.0971,0.0187,0.0971
mar_Deva,0.9806,0.4473,0.9806
bts_Latn,0.1553,0.0299,0.1553
mbt_Latn,0.0485,0.0119,0.0485
nyu_Latn,0.8447,0.1665,0.8447
vie_Latn,0.9709,0.3891,0.9709
chq_Latn,0.0388,0.0067,0.0388
zam_Latn,0.0291,0.0037,0.0291
por_Latn,1.0,0.4712,1.0
kqs_Latn,0.068,0.0067,0.068
kru_Deva,0.0583,0.0119,0.0583
crs_Latn,0.3398,0.0799,0.3398
kdc_Latn,0.4951,0.0904,0.4951
sgz_Latn,0.0291,0.0082,0.0291
tbc_Latn,0.0485,0.0105,0.0485
cgc_Latn,0.233,0.0358,0.233
kwj_Latn,0.0583,0.0082,0.0583
mxv_Latn,0.0291,0.0037,0.0291
kub_Latn,0.0485,0.0075,0.0485
bon_Latn,0.0388,0.0075,0.0388
cek_Latn,0.0291,0.0045,0.0291
yaq_Latn,0.0097,0.0015,0.0097
tee_Latn,0.0194,0.0045,0.0194
fra_Latn,0.9903,0.4742,0.9903
kyg_Latn,0.0194,0.0022,0.0194
anm_Latn,0.0485,0.0097,0.0485
zpl_Latn,0.1165,0.0194,0.1165
mfe_Latn,0.3883,0.0881,0.3883
mck_Latn,0.5243,0.0881,0.5243
lin_Latn,0.9417,0.2465,0.9417
alt_Cyrl,0.4466,0.0881,0.4466
nmz_Latn,0.0874,0.0149,0.0874
kan_Latn,0.0194,0.0015,0.0194
sgw_Ethi,0.1553,0.0261,0.1553
nct_Latn,0.0485,0.0134,0.0485
kqp_Latn,0.0388,0.009,0.0388
sri_Latn,0.0485,0.0067,0.0485
uzb_Cyrl,0.7087,0.1382,0.7087
swg_Latn,0.7864,0.1785,0.7864
dan_Latn,1.0,0.6475,1.0
stp_Latn,0.0291,0.0037,0.0291
hif_Latn,0.0485,0.006,0.0485
nus_Latn,0.6214,0.0948,0.6214
ffm_Latn,0.5049,0.0859,0.5049
ckb_Arab,0.8641,0.1949,0.8641
taw_Latn,0.0194,0.0037,0.0194
sme_Latn,0.0388,0.0067,0.0388
kmk_Latn,0.1165,0.0314,0.1165
mri_Latn,0.932,0.1972,0.932
chr_Latn,0.0097,0.0052,0.0097
mtp_Latn,0.0194,0.0015,0.0194
shk_Latn,0.0097,0.0007,0.0097
kiz_Latn,0.5146,0.0851,0.5146
zpo_Latn,0.0777,0.0119,0.0777
ann_Latn,0.0485,0.0112,0.0485
meq_Latn,0.0777,0.0105,0.0777
nhw_Latn,0.0388,0.006,0.0388
bch_Latn,0.0583,0.0142,0.0583
tzj_Latn,0.068,0.009,0.068
ckt_Cyrl,0.0485,0.0037,0.0485
cot_Latn,0.0291,0.0037,0.0291
xrb_Latn,0.0583,0.0052,0.0583
ikw_Latn,0.1359,0.0366,0.1359
beq_Latn,0.4175,0.0687,0.4175
som_Latn,0.9709,0.3211,0.9709
mit_Latn,0.0777,0.0142,0.0777
mjc_Latn,0.0874,0.0149,0.0874
bom_Latn,0.0583,0.0105,0.0583
kua_Latn,0.5825,0.1098,0.5825
blz_Latn,0.1165,0.0254,0.1165
spa_Latn,0.9709,0.5108,0.9709
var_Latn,0.0097,0.0015,0.0097
cso_Latn,0.0194,0.0015,0.0194
leh_Latn,0.466,0.0747,0.466
gkn_Latn,0.0291,0.006,0.0291
jic_Latn,0.0291,0.0067,0.0291
rim_Latn,0.2621,0.0403,0.2621
crm_Cans,0.0097,0.0022,0.0097
cth_Latn,0.068,0.0119,0.068
acu_Latn,0.0388,0.0037,0.0388
tav_Latn,0.0291,0.003,0.0291
mxt_Latn,0.0583,0.0134,0.0583
hig_Latn,0.0291,0.0037,0.0291
stq_Latn,0.3204,0.0583,0.3204
ncu_Latn,0.0388,0.003,0.0388
plg_Latn,0.0291,0.003,0.0291
yrk_Cyrl,0.0485,0.0097,0.0485
cax_Latn,0.0777,0.0149,0.0777
kao_Latn,0.1748,0.0291,0.1748
crq_Latn,0.0485,0.0075,0.0485
tgo_Latn,0.0777,0.0134,0.0777
shj_Latn,0.0291,0.006,0.0291
jav_Latn,0.8932,0.2651,0.8932
zao_Latn,0.0583,0.009,0.0583
nii_Latn,0.0291,0.006,0.0291
