code,intfloat/multilingual-e5-base_max,intfloat/multilingual-e5-base_mean,avg
ndg_Latn,0.5534,0.1046,0.5534
ngp_Latn,0.2816,0.059,0.2816
krc_Cyrl,0.6602,0.1367,0.6602
mzh_Latn,0.068,0.0142,0.068
cuc_Latn,0.0194,0.0045,0.0194
aai_Latn,0.0485,0.009,0.0485
aca_Latn,0.0874,0.0134,0.0874
wos_Latn,0.0388,0.0045,0.0388
fuq_Latn,0.6311,0.1158,0.6311
kqe_Latn,0.1748,0.0336,0.1748
nca_Latn,0.0583,0.0172,0.0583
pls_Latn,0.1068,0.0164,0.1068
bki_Latn,0.0194,0.003,0.0194
qvh_Latn,0.2621,0.0358,0.2621
nph_Latn,0.068,0.0075,0.068
ozm_Latn,0.0194,0.0015,0.0194
jbu_Latn,0.0583,0.009,0.0583
fij_Latn,0.9126,0.1852,0.9126
udu_Latn,0.0097,0.0007,0.0097
tnp_Latn,0.0097,0.0007,0.0097
ewe_Latn,0.7573,0.1262,0.7573
guh_Latn,0.0583,0.006,0.0583
mau_Latn,0.0291,0.0052,0.0291
mbb_Latn,0.0583,0.0067,0.0583
kin_Latn,0.9417,0.2621,0.9417
amm_Latn,0.0,0.0,0.0
ton_Latn,0.0777,0.0112,0.0777
mee_Latn,0.0291,0.0052,0.0291
dow_Latn,0.0777,0.0149,0.0777
rub_Latn,0.3398,0.0553,0.3398
pah_Latn,0.0485,0.0037,0.0485
msb_Latn,0.8544,0.186,0.8544
soy_Latn,0.0097,0.0007,0.0097
esu_Latn,0.1262,0.0194,0.1262
tuk_Arab,0.3786,0.0597,0.3786
cub_Latn,0.0388,0.0045,0.0388
kek_Latn,0.0388,0.0067,0.0388
mjw_Latn,0.0388,0.0075,0.0388
tgk_Cyrl,0.9709,0.2689,0.9709
ava_Cyrl,0.0097,0.0015,0.0097
cce_Latn,0.5534,0.0889,0.5534
ter_Latn,0.0291,0.003,0.0291
zyp_Latn,0.0971,0.0164,0.0971
hne_Deva,0.9806,0.2502,0.9806
aey_Latn,0.068,0.009,0.068
mnf_Latn,0.0194,0.003,0.0194
sat_Latn,0.0194,0.0022,0.0194
qvi_Latn,0.3689,0.0508,0.3689
kbm_Latn,0.0583,0.0105,0.0583
ify_Latn,0.1262,0.0224,0.1262
dgc_Latn,0.1748,0.0396,0.1748
enq_Latn,0.0291,0.0037,0.0291
poe_Latn,0.0777,0.0179,0.0777
ktj_Latn,0.0291,0.0022,0.0291
bmq_Latn,0.0583,0.0142,0.0583
ycn_Latn,0.0485,0.0052,0.0485
lam_Latn,0.5437,0.0836,0.5437
tac_Latn,0.0291,0.0045,0.0291
for_Latn,0.0097,0.0015,0.0097
snf_Latn,0.0485,0.006,0.0485
kjh_Cyrl,0.2233,0.0351,0.2233
mbc_Latn,0.0291,0.0037,0.0291
btd_Latn,0.2233,0.0351,0.2233
mqj_Latn,0.1359,0.0209,0.1359
gui_Latn,0.0874,0.0172,0.0874
xsi_Latn,0.0583,0.0067,0.0583
rus_Cyrl,0.9903,0.5519,0.9903
chf_Latn,0.0971,0.0164,0.0971
bbc_Latn,0.1359,0.0276,0.1359
bqj_Latn,0.0485,0.0105,0.0485
hui_Latn,0.0194,0.0045,0.0194
jac_Latn,0.0777,0.0127,0.0777
omw_Latn,0.0097,0.0015,0.0097
nde_Latn,0.8835,0.2293,0.8835
gnw_Latn,0.0874,0.0082,0.0874
aak_Latn,0.0291,0.0022,0.0291
mic_Latn,0.0097,0.0045,0.0097
urk_Thai,0.0097,0.0007,0.0097
agr_Latn,0.0583,0.0082,0.0583
bzj_Latn,0.1845,0.0284,0.1845
xnn_Latn,0.1845,0.0306,0.1845
ade_Latn,0.1165,0.0127,0.1165
nak_Latn,0.0388,0.0052,0.0388
kpx_Latn,0.0,0.0,0.0
tuo_Latn,0.0485,0.0045,0.0485
mux_Latn,0.0291,0.0045,0.0291
any_Latn,0.068,0.009,0.068
amn_Latn,0.0485,0.009,0.0485
mfq_Latn,0.0097,0.0007,0.0097
msa_Latn,0.4078,0.0612,0.4078
bef_Latn,0.0097,0.0015,0.0097
hae_Latn,0.8058,0.1509,0.8058
thk_Latn,0.1359,0.0232,0.1359
eri_Latn,0.0485,0.0134,0.0485
knk_Latn,0.1942,0.0254,0.1942
maw_Latn,0.068,0.009,0.068
nya_Latn,0.9417,0.2293,0.9417
alq_Latn,0.0291,0.006,0.0291
lmk_Latn,0.0777,0.0119,0.0777
mtg_Latn,0.0291,0.0037,0.0291
mwp_Latn,0.0194,0.0022,0.0194
sxb_Latn,0.4175,0.059,0.4175
sqi_Latn,1.0,0.4966,1.0
yuj_Latn,0.0485,0.0052,0.0485
pww_Thai,0.0,0.0,0.0
bmr_Latn,0.0388,0.0052,0.0388
mxb_Latn,0.068,0.0082,0.068
swp_Latn,0.0583,0.0142,0.0583
yss_Latn,0.0485,0.0105,0.0485
bib_Latn,0.0971,0.0164,0.0971
csy_Latn,0.165,0.0261,0.165
yad_Latn,0.0097,0.0067,0.0097
bxr_Cyrl,0.3592,0.0568,0.3592
mib_Latn,0.0874,0.0119,0.0874
mzk_Latn,0.0485,0.0142,0.0485
tsw_Latn,0.0485,0.0067,0.0485
chu_Cyrl,0.932,0.401,0.932
clu_Latn,0.466,0.0829,0.466
nmo_Latn,0.0485,0.0112,0.0485
sll_Latn,0.0388,0.0052,0.0388
hwc_Latn,0.8641,0.2226,0.8641
lob_Latn,0.0388,0.0075,0.0388
amo_Latn,0.1068,0.0157,0.1068
xtm_Latn,0.0971,0.0127,0.0971
muy_Latn,0.0291,0.0075,0.0291
mvn_Latn,0.0485,0.0105,0.0485
chd_Latn,0.0485,0.0075,0.0485
bba_Latn,0.0194,0.0075,0.0194
dnj_Latn,0.0,0.0,0.0
mwq_Latn,0.0485,0.0075,0.0485
bav_Latn,0.068,0.0067,0.068
wsk_Latn,0.0777,0.0119,0.0777
khs_Latn,0.0097,0.0015,0.0097
xal_Cyrl,0.0485,0.0112,0.0485
alp_Latn,0.0291,0.006,0.0291
ppk_Latn,0.068,0.0157,0.068
mav_Latn,0.0097,0.0022,0.0097
knj_Latn,0.0388,0.0097,0.0388
bwq_Latn,0.068,0.0127,0.068
aji_Latn,0.0777,0.0157,0.0777
kxc_Ethi,0.0097,0.0007,0.0097
zga_Latn,0.233,0.0284,0.233
asm_Beng,0.9417,0.2412,0.9417
mkj_Latn,0.0777,0.0157,0.0777
sba_Latn,0.0485,0.009,0.0485
cao_Latn,0.0097,0.006,0.0097
