code,mistralai/Mistral-7B-v0.3_max,mistralai/Mistral-7B-v0.3_mean,avg
msy_Latn,0.0291,0.0071,0.0291
ceg_Latn,0.0291,0.0056,0.0291
tsn_Latn,0.0291,0.0094,0.0291
xho_Latn,0.0388,0.0135,0.0388
fad_Latn,0.0097,0.0047,0.0097
nas_Latn,0.0097,0.0006,0.0097
oji_Latn,0.0291,0.0112,0.0291
hop_Latn,0.0291,0.0062,0.0291
cav_Latn,0.0194,0.0053,0.0194
ifb_Latn,0.0291,0.0041,0.0291
nse_Latn,0.0291,0.01,0.0291
kaa_Latn,0.0388,0.0094,0.0388
mks_Latn,0.0194,0.0068,0.0194
sda_Latn,0.0291,0.0127,0.0291
lav_Latn,0.1456,0.0415,0.1456
tbo_Latn,0.0194,0.0047,0.0194
apr_Latn,0.0291,0.0097,0.0291
neb_Latn,0.0097,0.0006,0.0097
trq_Latn,0.0194,0.0074,0.0194
kwf_Latn,0.0291,0.0071,0.0291
swh_Latn,0.0583,0.0206,0.0583
daa_Latn,0.0194,0.0074,0.0194
ksw_Mymr,0.0,0.0,0.0
xpe_Latn,0.0291,0.0029,0.0291
ike_Cans,0.0097,0.0015,0.0097
gur_Latn,0.0194,0.0085,0.0194
ztq_Latn,0.0194,0.0071,0.0194
pse_Latn,0.0485,0.0188,0.0485
nyy_Latn,0.0194,0.0076,0.0194
mda_Latn,0.0097,0.0012,0.0097
bao_Latn,0.0194,0.0047,0.0194
bzi_Thai,0.0097,0.0003,0.0097
zaa_Latn,0.0388,0.0135,0.0388
tcs_Latn,0.0291,0.0088,0.0291
kbd_Cyrl,0.0,0.0,0.0
wnu_Latn,0.0097,0.0006,0.0097
boa_Latn,0.0097,0.0003,0.0097
tpz_Latn,0.0097,0.0032,0.0097
suc_Latn,0.0194,0.0076,0.0194
des_Latn,0.0194,0.0041,0.0194
moa_Latn,0.0194,0.0018,0.0194
ria_Latn,0.0194,0.0056,0.0194
amu_Latn,0.0194,0.0079,0.0194
gbi_Latn,0.0194,0.0071,0.0194
zpc_Latn,0.0388,0.0094,0.0388
cjv_Latn,0.0097,0.0015,0.0097
wbp_Latn,0.0,0.0,0.0
mpm_Latn,0.0291,0.0115,0.0291
pap_Latn,0.1068,0.0394,0.1068
nnb_Latn,0.0097,0.0012,0.0097
mcd_Latn,0.0194,0.0053,0.0194
slv_Latn,0.5922,0.2863,0.5922
lia_Latn,0.0097,0.0026,0.0097
mal_Latn,0.0194,0.0021,0.0194
izz_Latn,0.0097,0.0021,0.0097
ubu_Latn,0.0097,0.0015,0.0097
kmg_Latn,0.0194,0.0062,0.0194
guq_Latn,0.0194,0.0091,0.0194
gvf_Latn,0.0097,0.0015,0.0097
zab_Latn,0.0291,0.0129,0.0291
kxw_Latn,0.0194,0.0062,0.0194
bel_Cyrl,0.2816,0.0933,0.2816
lmp_Latn,0.0097,0.0006,0.0097
alj_Latn,0.0097,0.0076,0.0097
nzm_Latn,0.0194,0.0026,0.0194
bre_Latn,0.0291,0.0094,0.0291
kab_Latn,0.0194,0.0085,0.0194
uig_Cyrl,0.0388,0.0082,0.0388
lgl_Latn,0.0291,0.0115,0.0291
quf_Latn,0.0097,0.0047,0.0097
ifa_Latn,0.0194,0.0094,0.0194
bhg_Latn,0.0194,0.0082,0.0194
swk_Latn,0.0291,0.0109,0.0291
taj_Deva,0.0194,0.0024,0.0194
fuh_Latn,0.0194,0.0018,0.0194
nep_Deva,0.1553,0.0318,0.1553
tbl_Latn,0.0194,0.0032,0.0194
jni_Latn,0.0291,0.0062,0.0291
agx_Cyrl,0.0194,0.0094,0.0194
kdl_Latn,0.0194,0.0085,0.0194
lee_Latn,0.0097,0.0076,0.0097
kck_Latn,0.0291,0.0132,0.0291
kxm_Thai,0.0097,0.0012,0.0097
itv_Latn,0.0291,0.0127,0.0291
cpu_Latn,0.0388,0.0129,0.0388
ata_Latn,0.0,0.0,0.0
dar_Cyrl,0.0194,0.0021,0.0194
ziw_Latn,0.0194,0.0097,0.0194
ghe_Deva,0.0291,0.0044,0.0291
naq_Latn,0.0194,0.0032,0.0194
blw_Latn,0.0291,0.0138,0.0291
miy_Latn,0.0097,0.0038,0.0097
wwa_Latn,0.0097,0.0006,0.0097
dyi_Latn,0.0194,0.0021,0.0194
hrv_Latn,0.5437,0.2392,0.5437
cmn_Hani,0.7379,0.3719,0.7379
zul_Latn,0.0291,0.0118,0.0291
mfk_Latn,0.0194,0.0047,0.0194
kiw_Latn,0.0194,0.0076,0.0194
hto_Latn,0.0194,0.0079,0.0194
nxd_Latn,0.0194,0.0071,0.0194
wro_Latn,0.0194,0.0091,0.0194
yle_Latn,0.0,0.0,0.0
yor_Latn,0.0291,0.0097,0.0291
bam_Latn,0.0097,0.0079,0.0097
zac_Latn,0.0388,0.0138,0.0388
bgt_Latn,0.0291,0.0132,0.0291
gup_Latn,0.0291,0.0129,0.0291
