code,Qwen/Qwen3-Embedding-0.6B_max,Qwen/Qwen3-Embedding-0.6B_mean,avg
njm_Latn,0.0291,0.0094,0.0291
bar_Latn,0.1748,0.0609,0.1748
hch_Latn,0.0097,0.0007,0.0097
guo_Latn,0.0583,0.0107,0.0583
wuv_Latn,0.0583,0.0258,0.0583
urd_Deva,0.6214,0.2072,0.6214
ppo_Latn,0.0291,0.0067,0.0291
bwu_Latn,0.0388,0.0107,0.0388
gdn_Latn,0.0194,0.0013,0.0194
ixl_Latn,0.0388,0.0121,0.0388
cof_Latn,0.0388,0.0184,0.0388
mps_Latn,0.0291,0.0067,0.0291
nhe_Latn,0.0388,0.011,0.0388
ium_Thai,0.0,0.0,0.0
way_Latn,0.0097,0.0017,0.0097
toh_Latn,0.0291,0.0087,0.0291
cya_Latn,0.0291,0.0114,0.0291
amk_Latn,0.0485,0.0121,0.0485
bps_Latn,0.0194,0.0107,0.0194
agw_Latn,0.0485,0.0164,0.0485
tat_Cyrl,0.0388,0.0057,0.0388
mlh_Latn,0.0291,0.0057,0.0291
byx_Latn,0.0583,0.011,0.0583
awi_Latn,0.0194,0.0054,0.0194
nan_Latn,0.0097,0.0007,0.0097
ksj_Latn,0.0485,0.0107,0.0485
ssd_Latn,0.0291,0.0047,0.0291
sps_Latn,0.0291,0.0077,0.0291
cfm_Latn,0.0583,0.0131,0.0583
nwx_Deva,0.0485,0.01,0.0485
blh_Latn,0.0194,0.0044,0.0194
kus_Latn,0.0388,0.0171,0.0388
myx_Latn,0.0388,0.0067,0.0388
nwi_Latn,0.0291,0.0087,0.0291
mif_Latn,0.0194,0.0054,0.0194
est_Latn,0.1845,0.0472,0.1845
mpt_Latn,0.0097,0.001,0.0097
chv_Cyrl,0.0291,0.0033,0.0291
hag_Latn,0.0291,0.0037,0.0291
cjo_Latn,0.0097,0.0003,0.0097
aze_Cyrl,0.0291,0.0017,0.0291
dov_Latn,0.0291,0.0114,0.0291
kyq_Latn,0.0194,0.008,0.0194
wbi_Latn,0.0291,0.0077,0.0291
xtn_Latn,0.068,0.0137,0.068
kzf_Latn,0.0485,0.0167,0.0485
zpz_Latn,0.0194,0.007,0.0194
bsc_Latn,0.0194,0.006,0.0194
zsm_Latn,0.1942,0.075,0.1942
gag_Latn,0.2233,0.0901,0.2233
too_Latn,0.068,0.0194,0.068
mox_Latn,0.0291,0.009,0.0291
jiv_Latn,0.0194,0.003,0.0194
zho_Hani,0.7573,0.3067,0.7573
bzh_Latn,0.0194,0.006,0.0194
kpz_Latn,0.0291,0.0084,0.0291
tum_Latn,0.0388,0.0164,0.0388
vag_Latn,0.0291,0.0121,0.0291
bjv_Latn,0.0194,0.004,0.0194
box_Latn,0.0388,0.008,0.0388
ndg_Latn,0.0388,0.0144,0.0388
ngp_Latn,0.0291,0.011,0.0291
mzh_Latn,0.0485,0.0127,0.0485
krc_Cyrl,0.0194,0.005,0.0194
cuc_Latn,0.0291,0.0074,0.0291
aai_Latn,0.0583,0.0137,0.0583
aca_Latn,0.0583,0.0167,0.0583
wos_Latn,0.0291,0.0057,0.0291
fuq_Latn,0.0291,0.0067,0.0291
kqe_Latn,0.0388,0.0094,0.0388
nca_Latn,0.0194,0.0037,0.0194
pls_Latn,0.0485,0.0184,0.0485
bki_Latn,0.0194,0.005,0.0194
qvh_Latn,0.0485,0.0154,0.0485
nph_Latn,0.0388,0.01,0.0388
ozm_Latn,0.0291,0.007,0.0291
jbu_Latn,0.0388,0.007,0.0388
fij_Latn,0.0485,0.0151,0.0485
udu_Latn,0.0194,0.0017,0.0194
ewe_Latn,0.0388,0.0097,0.0388
tnp_Latn,0.0194,0.003,0.0194
guh_Latn,0.0485,0.0074,0.0485
