code,FacebookAI/xlm-roberta-base_max,FacebookAI/xlm-roberta-base_mean,avg
mcf_Latn,0.0,0.0,0.0
tim_Latn,0.0,0.0,0.0
ben_Beng,0.1748,0.0807,0.1748
gdr_Latn,0.0,0.0,0.0
loz_Latn,0.0194,0.0105,0.0194
mfh_Latn,0.0097,0.0015,0.0097
mua_Latn,0.0291,0.0045,0.0291
nhy_Latn,0.0194,0.0112,0.0194
hnn_Latn,0.0291,0.0127,0.0291
ssx_Latn,0.0,0.0,0.0
atb_Latn,0.0,0.0,0.0
nbe_Latn,0.0097,0.0007,0.0097
mlt_Latn,0.0194,0.009,0.0194
moc_Latn,0.0097,0.0007,0.0097
heb_Hebr,0.2913,0.1426,0.2913
lef_Latn,0.0097,0.0052,0.0097
gnn_Latn,0.0,0.0,0.0
miz_Latn,0.0097,0.0015,0.0097
cux_Latn,0.0,0.0,0.0
zom_Latn,0.0194,0.0052,0.0194
tso_Latn,0.0194,0.0075,0.0194
trp_Latn,0.0097,0.0007,0.0097
dtp_Latn,0.0,0.0,0.0
qvs_Latn,0.0,0.0,0.0
kri_Latn,0.0097,0.0015,0.0097
nif_Latn,0.0,0.0,0.0
ban_Latn,0.0194,0.0105,0.0194
tnk_Latn,0.0,0.0,0.0
hus_Latn,0.0097,0.0037,0.0097
bqp_Latn,0.0097,0.003,0.0097
khk_Latn,0.0097,0.0052,0.0097
mgw_Latn,0.0194,0.006,0.0194
smk_Latn,0.0194,0.0105,0.0194
pps_Latn,0.0097,0.0022,0.0097
tke_Latn,0.0097,0.0007,0.0097
uri_Latn,0.0,0.0,0.0
mrg_Latn,0.0097,0.003,0.0097
nhx_Latn,0.0,0.0,0.0
nko_Latn,0.0097,0.0015,0.0097
kjb_Latn,0.0194,0.006,0.0194
mfi_Latn,0.0097,0.0015,0.0097
tlb_Latn,0.0097,0.0037,0.0097
reg_Latn,0.0,0.0,0.0
yka_Latn,0.0097,0.0022,0.0097
sin_Sinh,0.1165,0.0418,0.1165
msy_Latn,0.0194,0.0045,0.0194
tsn_Latn,0.0388,0.0172,0.0388
ceg_Latn,0.0,0.0,0.0
xho_Latn,0.0485,0.0246,0.0485
fad_Latn,0.0,0.0,0.0
nas_Latn,0.0,0.0,0.0
oji_Latn,0.0194,0.0105,0.0194
cav_Latn,0.0097,0.0052,0.0097
hop_Latn,0.0097,0.0015,0.0097
ifb_Latn,0.0194,0.0097,0.0194
nse_Latn,0.0097,0.003,0.0097
kaa_Latn,0.0194,0.0075,0.0194
sda_Latn,0.0291,0.0119,0.0291
mks_Latn,0.0097,0.0015,0.0097
lav_Latn,0.6602,0.2928,0.6602
tbo_Latn,0.0,0.0,0.0
apr_Latn,0.0097,0.0007,0.0097
trq_Latn,0.0097,0.0045,0.0097
neb_Latn,0.0097,0.0007,0.0097
kwf_Latn,0.0097,0.0015,0.0097
daa_Latn,0.0097,0.0015,0.0097
swh_Latn,0.3495,0.1576,0.3495
ksw_Mymr,0.0,0.0,0.0
ike_Cans,0.0097,0.0007,0.0097
xpe_Latn,0.0,0.0,0.0
gur_Latn,0.0097,0.0007,0.0097
ztq_Latn,0.0097,0.0007,0.0097
pse_Latn,0.0388,0.0187,0.0388
nyy_Latn,0.0194,0.006,0.0194
mda_Latn,0.0,0.0,0.0
bzi_Thai,0.0,0.0,0.0
bao_Latn,0.0097,0.0022,0.0097
zaa_Latn,0.0194,0.0052,0.0194
tcs_Latn,0.0097,0.003,0.0097
kbd_Cyrl,0.0,0.0,0.0
boa_Latn,0.0097,0.0007,0.0097
wnu_Latn,0.0097,0.0022,0.0097
tpz_Latn,0.0097,0.0015,0.0097
suc_Latn,0.0097,0.006,0.0097
des_Latn,0.0097,0.0022,0.0097
moa_Latn,0.0,0.0,0.0
ria_Latn,0.0,0.0,0.0
amu_Latn,0.0,0.0,0.0
gbi_Latn,0.0194,0.009,0.0194
zpc_Latn,0.0097,0.0052,0.0097
cjv_Latn,0.0097,0.0007,0.0097
wbp_Latn,0.0,0.0,0.0
mpm_Latn,0.0097,0.0007,0.0097
nnb_Latn,0.0097,0.0067,0.0097
pap_Latn,0.0485,0.0232,0.0485
slv_Latn,0.6602,0.3234,0.6602
mcd_Latn,0.0097,0.0022,0.0097
lia_Latn,0.0,0.0,0.0
mal_Latn,0.0097,0.0007,0.0097
kmg_Latn,0.0097,0.0037,0.0097
ubu_Latn,0.0,0.0,0.0
izz_Latn,0.0,0.0,0.0
guq_Latn,0.0194,0.009,0.0194
gvf_Latn,0.0097,0.003,0.0097
zab_Latn,0.0194,0.0067,0.0194
kxw_Latn,0.0,0.0,0.0
bel_Cyrl,0.6311,0.2898,0.6311
alj_Latn,0.0291,0.0112,0.0291
nzm_Latn,0.0,0.0,0.0
lmp_Latn,0.0097,0.0007,0.0097
bre_Latn,0.0388,0.0202,0.0388
uig_Cyrl,0.0,0.0,0.0
kab_Latn,0.0097,0.0007,0.0097
lgl_Latn,0.0097,0.0015,0.0097
quf_Latn,0.0097,0.0015,0.0097
bhg_Latn,0.0194,0.0082,0.0194
ifa_Latn,0.0194,0.0119,0.0194
swk_Latn,0.0388,0.0202,0.0388
taj_Deva,0.0,0.0,0.0
fuh_Latn,0.0097,0.0015,0.0097
nep_Deva,0.0874,0.0306,0.0874
tbl_Latn,0.0097,0.0022,0.0097
agx_Cyrl,0.0,0.0,0.0
jni_Latn,0.0291,0.0045,0.0291
kdl_Latn,0.0097,0.0075,0.0097
lee_Latn,0.0097,0.0067,0.0097
itv_Latn,0.0194,0.003,0.0194
kxm_Thai,0.0,0.0,0.0
kck_Latn,0.0291,0.0082,0.0291
cpu_Latn,0.0097,0.0015,0.0097
ata_Latn,0.0,0.0,0.0
ziw_Latn,0.0097,0.0067,0.0097
dar_Cyrl,0.0,0.0,0.0
naq_Latn,0.0,0.0,0.0
ghe_Deva,0.0,0.0,0.0
blw_Latn,0.0097,0.0052,0.0097
miy_Latn,0.0,0.0,0.0
dyi_Latn,0.0,0.0,0.0
wwa_Latn,0.0,0.0,0.0
hrv_Latn,0.5437,0.2786,0.5437
cmn_Hani,0.3495,0.1382,0.3495
zul_Latn,0.0194,0.0112,0.0194
mfk_Latn,0.0194,0.0037,0.0194
kiw_Latn,0.0,0.0,0.0
hto_Latn,0.0,0.0,0.0
nxd_Latn,0.0097,0.0075,0.0097
wro_Latn,0.0097,0.0067,0.0097
yle_Latn,0.0,0.0,0.0
yor_Latn,0.0,0.0,0.0
bam_Latn,0.0097,0.0067,0.0097
zac_Latn,0.0194,0.0097,0.0194
bgt_Latn,0.0194,0.0119,0.0194
gup_Latn,0.0097,0.0007,0.0097
mam_Latn,0.0,0.0,0.0
ctd_Latn,0.0097,0.0007,0.0097
rmq_Latn,0.068,0.0381,0.068
gle_Latn,0.2621,0.1001,0.2621
lat_Latn,0.7379,0.3316,0.7379
gor_Latn,0.0194,0.009,0.0194
asg_Latn,0.0097,0.0045,0.0097
ven_Latn,0.0194,0.0105,0.0194
kwd_Latn,0.0097,0.0022,0.0097
bmh_Latn,0.0097,0.0022,0.0097
cbc_Latn,0.0,0.0,0.0
dgz_Latn,0.0,0.0,0.0
myv_Cyrl,0.0194,0.0045,0.0194
bkq_Latn,0.0194,0.0075,0.0194
krj_Latn,0.0194,0.0075,0.0194
cat_Latn,0.699,0.3659,0.699
tdt_Latn,0.0194,0.0075,0.0194
kac_Latn,0.0,0.0,0.0
qug_Latn,0.0097,0.0045,0.0097
dts_Latn,0.0,0.0,0.0
lgm_Latn,0.0291,0.0172,0.0291
fra_Latn,0.6893,0.3757,0.6893
tee_Latn,0.0,0.0,0.0
yaq_Latn,0.0,0.0,0.0
bon_Latn,0.0097,0.0015,0.0097
cek_Latn,0.0,0.0,0.0
kub_Latn,0.0097,0.0007,0.0097
nmz_Latn,0.0194,0.0097,0.0194
alt_Cyrl,0.0388,0.0112,0.0388
mck_Latn,0.0097,0.0052,0.0097
lin_Latn,0.0097,0.003,0.0097
zpl_Latn,0.0097,0.006,0.0097
mfe_Latn,0.0388,0.0254,0.0388
anm_Latn,0.0097,0.0022,0.0097
kyg_Latn,0.0,0.0,0.0
zam_Latn,0.0,0.0,0.0
chq_Latn,0.0097,0.0007,0.0097
vie_Latn,0.5146,0.2666,0.5146
nyu_Latn,0.0194,0.0022,0.0194
bts_Latn,0.0194,0.0112,0.0194
mbt_Latn,0.0,0.0,0.0
azb_Latn,0.3592,0.1479,0.3592
mar_Deva,0.4272,0.1912,0.4272
bgz_Latn,0.0097,0.003,0.0097
urd_Latn,0.0097,0.0052,0.0097
cnh_Latn,0.0194,0.0037,0.0194
kwj_Latn,0.0097,0.0007,0.0097
mxv_Latn,0.0,0.0,0.0
cgc_Latn,0.0194,0.0075,0.0194
sgz_Latn,0.0097,0.0022,0.0097
tbc_Latn,0.0097,0.006,0.0097
kdc_Latn,0.0194,0.0052,0.0194
crs_Latn,0.0485,0.0157,0.0485
kru_Deva,0.0,0.0,0.0
kqs_Latn,0.0097,0.0045,0.0097
por_Latn,0.699,0.3786,0.699
ndp_Latn,0.0194,0.0067,0.0194
pkb_Latn,0.0194,0.0112,0.0194
lsm_Latn,0.0194,0.003,0.0194
tpt_Latn,0.0,0.0,0.0
cut_Latn,0.0097,0.0022,0.0097
iqw_Latn,0.0097,0.0007,0.0097
ses_Latn,0.0097,0.0015,0.0097
gnb_Latn,0.0,0.0,0.0
yap_Latn,0.0194,0.0075,0.0194
ted_Latn,0.0,0.0,0.0
fai_Latn,0.0,0.0,0.0
agg_Latn,0.0,0.0,0.0
biv_Latn,0.0097,0.003,0.0097
vap_Latn,0.0,0.0,0.0
kyf_Latn,0.0,0.0,0.0
nhu_Latn,0.0097,0.0015,0.0097
kix_Latn,0.0194,0.0075,0.0194
zpm_Latn,0.0,0.0,0.0
sja_Latn,0.0194,0.0075,0.0194
qxr_Latn,0.0,0.0,0.0
akb_Latn,0.0097,0.0007,0.0097
klv_Latn,0.0194,0.006,0.0194
bum_Latn,0.0194,0.0119,0.0194
bfd_Latn,0.0097,0.0015,0.0097
tzh_Latn,0.0097,0.0052,0.0097
pbi_Latn,0.0097,0.009,0.0097
nnl_Latn,0.0097,0.0022,0.0097
nld_Latn,0.8835,0.5863,0.8835
snp_Latn,0.0,0.0,0.0
shi_Latn,0.0097,0.0015,0.0097
ald_Latn,0.0097,0.0007,0.0097
mwe_Latn,0.0194,0.006,0.0194
