code,sentence-transformers/LaBSE_max,sentence-transformers/LaBSE_mean,avg
kan_Latn,0.0097,0.0015,0.0097
crm_Cans,0.0,0.0,0.0
jic_Latn,0.0874,0.0105,0.0874
rim_Latn,0.2621,0.062,0.2621
gkn_Latn,0.0291,0.0082,0.0291
cso_Latn,0.0485,0.0052,0.0485
leh_Latn,0.2524,0.1001,0.2524
var_Latn,0.0097,0.0007,0.0097
spa_Latn,0.9903,0.6796,0.9903
blz_Latn,0.1262,0.0403,0.1262
kua_Latn,0.2233,0.0485,0.2233
bom_Latn,0.0971,0.0164,0.0971
mjc_Latn,0.0874,0.0134,0.0874
mit_Latn,0.1845,0.0202,0.1845
som_Latn,1.0,0.5795,1.0
cot_Latn,0.0097,0.0045,0.0097
beq_Latn,0.2524,0.0739,0.2524
xrb_Latn,0.0291,0.006,0.0291
ikw_Latn,0.1165,0.0426,0.1165
ckt_Cyrl,0.0971,0.0157,0.0971
tzj_Latn,0.1068,0.0142,0.1068
nhw_Latn,0.0388,0.0082,0.0388
bch_Latn,0.1456,0.0276,0.1456
ann_Latn,0.0388,0.0157,0.0388
meq_Latn,0.0777,0.0112,0.0777
kiz_Latn,0.6117,0.1777,0.6117
zpo_Latn,0.0971,0.0306,0.0971
kwj_Latn,0.0874,0.0097,0.0874
mxv_Latn,0.068,0.009,0.068
cgc_Latn,0.301,0.0747,0.301
sgz_Latn,0.0777,0.0164,0.0777
tbc_Latn,0.1165,0.0269,0.1165
kdc_Latn,0.3689,0.1591,0.3689
crs_Latn,0.8641,0.4742,0.8641
kru_Deva,0.0485,0.006,0.0485
kqs_Latn,0.068,0.0209,0.068
por_Latn,0.9515,0.6647,0.9515
zam_Latn,0.0097,0.0007,0.0097
chq_Latn,0.1068,0.0119,0.1068
vie_Latn,0.9515,0.5728,0.9515
nyu_Latn,0.7379,0.2853,0.7379
bts_Latn,0.4078,0.0993,0.4078
mbt_Latn,0.1068,0.0149,0.1068
azb_Latn,0.932,0.6154,0.932
mar_Deva,0.9806,0.6333,0.9806
bgz_Latn,0.1359,0.0276,0.1359
urd_Latn,0.0194,0.0075,0.0194
