code,sentence-transformers/LaBSE_max,sentence-transformers/LaBSE_mean,avg
mwc_Latn,0.1359,0.0314,0.1359
zaj_Latn,0.3398,0.1583,0.3398
tna_Latn,0.1262,0.0209,0.1262
hvn_Latn,0.1748,0.0254,0.1748
kha_Latn,0.1165,0.0239,0.1165
izr_Latn,0.0485,0.0187,0.0485
btt_Latn,0.0388,0.0127,0.0388
kmo_Latn,0.0485,0.009,0.0485
mbs_Latn,0.1845,0.0314,0.1845
gag_Cyrl,0.4272,0.1464,0.4272
mad_Latn,0.2039,0.0485,0.2039
nou_Latn,0.1068,0.0164,0.1068
gvn_Latn,0.1262,0.0202,0.1262
ayr_Latn,0.0777,0.0164,0.0777
aze_Latn,0.932,0.6154,0.932
fal_Latn,0.165,0.0411,0.165
sco_Latn,0.5049,0.1628,0.5049
jid_Latn,0.1359,0.0418,0.1359
nbl_Latn,0.8932,0.4683,0.8932
bis_Latn,0.1262,0.0164,0.1262
boj_Latn,0.068,0.0097,0.068
gng_Latn,0.0485,0.0134,0.0485
mco_Latn,0.165,0.0187,0.165
cmo_Khmr,0.0097,0.0007,0.0097
hau_Latn,0.9806,0.5653,0.9806
kyc_Latn,0.0291,0.0067,0.0291
nog_Cyrl,0.8544,0.3786,0.8544
zca_Latn,0.1165,0.0134,0.1165
muh_Latn,0.0291,0.006,0.0291
tlj_Latn,0.1553,0.0246,0.1553
