code,jhu-clsp/mmBERT-base_max,jhu-clsp/mmBERT-base_mean,avg
tnp_Latn,0.0097,0.0008,0.0097
ewe_Latn,0.0097,0.0008,0.0097
jbu_Latn,0.0097,0.003,0.0097
fij_Latn,0.0194,0.0042,0.0194
guh_Latn,0.0097,0.0008,0.0097
mbb_Latn,0.0194,0.0038,0.0194
mau_Latn,0.0194,0.0034,0.0194
aca_Latn,0.0291,0.0042,0.0291
fuq_Latn,0.0097,0.0008,0.0097
wos_Latn,0.0097,0.0004,0.0097
bki_Latn,0.0,0.0,0.0
kqe_Latn,0.0291,0.0042,0.0291
nca_Latn,0.0,0.0,0.0
pls_Latn,0.0291,0.0097,0.0291
nph_Latn,0.0097,0.0038,0.0097
ozm_Latn,0.0097,0.0004,0.0097
qvh_Latn,0.0194,0.0046,0.0194
kek_Latn,0.0097,0.0004,0.0097
mjw_Latn,0.0194,0.0076,0.0194
tgk_Cyrl,0.1068,0.0274,0.1068
cub_Latn,0.0,0.0,0.0
ava_Cyrl,0.0097,0.0008,0.0097
cce_Latn,0.0194,0.0038,0.0194
hne_Deva,0.0583,0.0148,0.0583
ter_Latn,0.0097,0.0025,0.0097
zyp_Latn,0.0097,0.0004,0.0097
ton_Latn,0.0097,0.0008,0.0097
mee_Latn,0.0097,0.0008,0.0097
kin_Latn,0.0485,0.0122,0.0485
amm_Latn,0.0,0.0,0.0
dow_Latn,0.0194,0.0013,0.0194
pah_Latn,0.0097,0.0008,0.0097
msb_Latn,0.0971,0.0346,0.0971
rub_Latn,0.0097,0.0013,0.0097
tuk_Arab,0.0194,0.0034,0.0194
soy_Latn,0.0097,0.0008,0.0097
esu_Latn,0.0291,0.0097,0.0291
mbc_Latn,0.0,0.0,0.0
btd_Latn,0.0194,0.0059,0.0194
kjh_Cyrl,0.0097,0.0004,0.0097
snf_Latn,0.0097,0.0025,0.0097
for_Latn,0.0097,0.0004,0.0097
xsi_Latn,0.0,0.0,0.0
mqj_Latn,0.0485,0.0127,0.0485
gui_Latn,0.0194,0.008,0.0194
chf_Latn,0.0097,0.0055,0.0097
bbc_Latn,0.068,0.0089,0.068
rus_Cyrl,0.7961,0.3786,0.7961
jac_Latn,0.0,0.0,0.0
bqj_Latn,0.0194,0.0072,0.0194
hui_Latn,0.0,0.0,0.0
kbm_Latn,0.0097,0.0004,0.0097
aey_Latn,0.0388,0.0072,0.0388
qvi_Latn,0.0097,0.0013,0.0097
mnf_Latn,0.0,0.0,0.0
sat_Latn,0.0097,0.0013,0.0097
poe_Latn,0.0097,0.0042,0.0097
enq_Latn,0.0097,0.0004,0.0097
dgc_Latn,0.0583,0.0084,0.0583
ify_Latn,0.0194,0.0046,0.0194
bmq_Latn,0.0194,0.0051,0.0194
ktj_Latn,0.0,0.0,0.0
lam_Latn,0.0194,0.0046,0.0194
tac_Latn,0.0097,0.003,0.0097
ycn_Latn,0.0097,0.0017,0.0097
mux_Latn,0.0097,0.0008,0.0097
amn_Latn,0.0097,0.0004,0.0097
mfq_Latn,0.0097,0.0013,0.0097
any_Latn,0.0194,0.0021,0.0194
msa_Latn,0.0291,0.0055,0.0291
bef_Latn,0.0,0.0,0.0
hae_Latn,0.0097,0.0013,0.0097
nde_Latn,0.0485,0.0152,0.0485
omw_Latn,0.0097,0.0008,0.0097
mic_Latn,0.0097,0.0013,0.0097
urk_Thai,0.0,0.0,0.0
gnw_Latn,0.0194,0.0025,0.0194
aak_Latn,0.0,0.0,0.0
xnn_Latn,0.0388,0.0097,0.0388
ade_Latn,0.0097,0.0038,0.0097
agr_Latn,0.0194,0.0055,0.0194
bzj_Latn,0.0291,0.0122,0.0291
kpx_Latn,0.0097,0.0013,0.0097
tuo_Latn,0.0,0.0,0.0
nak_Latn,0.0194,0.0025,0.0194
sqi_Latn,0.2816,0.0591,0.2816
pww_Thai,0.0097,0.0008,0.0097
yuj_Latn,0.0194,0.0042,0.0194
mxb_Latn,0.0097,0.0008,0.0097
swp_Latn,0.0388,0.0165,0.0388
yss_Latn,0.0097,0.0004,0.0097
bmr_Latn,0.0194,0.0034,0.0194
eri_Latn,0.0097,0.003,0.0097
knk_Latn,0.0097,0.0017,0.0097
maw_Latn,0.0097,0.0008,0.0097
thk_Latn,0.0,0.0,0.0
lmk_Latn,0.0097,0.0004,0.0097
alq_Latn,0.0097,0.0021,0.0097
nya_Latn,0.0097,0.0038,0.0097
mwp_Latn,0.0097,0.0013,0.0097
sxb_Latn,0.0097,0.0025,0.0097
mtg_Latn,0.0097,0.0004,0.0097
nmo_Latn,0.0194,0.0034,0.0194
clu_Latn,0.0777,0.0249,0.0777
chu_Cyrl,0.3883,0.1705,0.3883
sll_Latn,0.0097,0.003,0.0097
amo_Latn,0.0097,0.0017,0.0097
lob_Latn,0.0,0.0,0.0
hwc_Latn,0.2718,0.1342,0.2718
mvn_Latn,0.0097,0.003,0.0097
muy_Latn,0.0097,0.0008,0.0097
xtm_Latn,0.0194,0.003,0.0194
bib_Latn,0.0097,0.0004,0.0097
csy_Latn,0.0291,0.0076,0.0291
mib_Latn,0.0291,0.0042,0.0291
bxr_Cyrl,0.0097,0.0013,0.0097
yad_Latn,0.0,0.0,0.0
tsw_Latn,0.0097,0.0008,0.0097
mzk_Latn,0.0194,0.0059,0.0194
mkj_Latn,0.0291,0.0148,0.0291
asm_Beng,0.0194,0.0017,0.0194
sba_Latn,0.0097,0.0004,0.0097
cao_Latn,0.0097,0.0004,0.0097
mwq_Latn,0.0097,0.0004,0.0097
dnj_Latn,0.0,0.0,0.0
bav_Latn,0.0194,0.003,0.0194
chd_Latn,0.0194,0.0034,0.0194
bba_Latn,0.0097,0.0025,0.0097
khs_Latn,0.0097,0.0004,0.0097
xal_Cyrl,0.0097,0.0046,0.0097
alp_Latn,0.0291,0.0059,0.0291
wsk_Latn,0.0097,0.0051,0.0097
mav_Latn,0.0,0.0,0.0
bwq_Latn,0.0097,0.0021,0.0097
knj_Latn,0.0194,0.003,0.0194
aji_Latn,0.0097,0.0021,0.0097
ppk_Latn,0.0291,0.008,0.0291
zga_Latn,0.0194,0.0051,0.0194
kxc_Ethi,0.0194,0.0025,0.0194
kto_Latn,0.0194,0.0021,0.0194
icr_Latn,0.0485,0.0245,0.0485
tro_Latn,0.0097,0.0038,0.0097
kyu_Mymr,0.0,0.0,0.0
isl_Latn,0.3592,0.095,0.3592
jmc_Latn,0.0194,0.0059,0.0194
ace_Latn,0.0194,0.0059,0.0194
kgf_Latn,0.0097,0.0008,0.0097
kbh_Latn,0.0097,0.0046,0.0097
npl_Latn,0.0388,0.0072,0.0388
ivb_Latn,0.0097,0.0046,0.0097
lwo_Latn,0.0,0.0,0.0
snd_Arab,0.0291,0.0059,0.0291
plw_Latn,0.0291,0.0046,0.0291
niy_Latn,0.0,0.0,0.0
mta_Latn,0.0194,0.0025,0.0194
mwv_Latn,0.0291,0.0072,0.0291
njn_Latn,0.0291,0.0055,0.0291
yon_Latn,0.0097,0.0017,0.0097
kkc_Latn,0.0097,0.0013,0.0097
mgh_Latn,0.0291,0.0084,0.0291
fin_Latn,0.5728,0.1469,0.5728
smt_Latn,0.0194,0.0051,0.0194
mbf_Latn,0.2136,0.0739,0.2136
maq_Latn,0.0194,0.0021,0.0194
snc_Latn,0.0097,0.0025,0.0097
gul_Latn,0.1845,0.0844,0.1845
coe_Latn,0.0097,0.0004,0.0097
pam_Latn,0.0485,0.016,0.0485
dik_Latn,0.0194,0.0051,0.0194
mpp_Latn,0.0194,0.003,0.0194
rug_Latn,0.0,0.0,0.0
nmh_Latn,0.0194,0.0068,0.0194
slk_Latn,0.6408,0.214,0.6408
oss_Cyrl,0.0097,0.0017,0.0097
dyu_Latn,0.0194,0.0025,0.0194
kor_Latn,0.0,0.0,0.0
kik_Latn,0.0194,0.0008,0.0194
amh_Latn,0.0,0.0,0.0
wbm_Latn,0.0097,0.0008,0.0097
pdc_Latn,0.0777,0.0207,0.0777
