code,Qwen/Qwen3-Embedding-4B_max,Qwen/Qwen3-Embedding-4B_mean,avg
atd_Latn,0.0194,0.0094,0.0194
nbc_Latn,0.0388,0.0168,0.0388
agm_Latn,0.0097,0.0016,0.0097
mhr_Cyrl,0.0485,0.0142,0.0485
kew_Latn,0.0194,0.0094,0.0194
sey_Latn,0.0583,0.0115,0.0583
srp_Cyrl,0.8738,0.386,0.8738
myb_Latn,0.0194,0.0073,0.0194
ndz_Latn,0.0388,0.0063,0.0388
usp_Latn,0.0485,0.0176,0.0485
dje_Latn,0.0485,0.0168,0.0485
pbc_Latn,0.0485,0.0171,0.0485
bug_Latn,0.0874,0.0213,0.0874
tik_Latn,0.0388,0.0071,0.0388
akh_Latn,0.0097,0.001,0.0097
esi_Latn,0.0485,0.0126,0.0485
kje_Latn,0.068,0.0239,0.068
arz_Arab,0.8544,0.3311,0.8544
mug_Latn,0.0777,0.0189,0.0777
syb_Latn,0.0583,0.0184,0.0583
mvp_Latn,0.068,0.0252,0.068
gvc_Latn,0.0388,0.01,0.0388
aia_Latn,0.0388,0.0092,0.0388
sml_Latn,0.0485,0.0097,0.0485
gej_Latn,0.0485,0.0186,0.0485
syc_Syrc,0.165,0.0341,0.165
nia_Latn,0.0485,0.0102,0.0485
bku_Latn,0.0291,0.0108,0.0291
cap_Latn,0.0485,0.01,0.0485
enl_Latn,0.0583,0.0192,0.0583
lww_Latn,0.0194,0.0042,0.0194
yut_Latn,0.0194,0.0052,0.0194
hla_Latn,0.0485,0.0126,0.0485
wiv_Latn,0.068,0.0257,0.068
quc_Latn,0.0291,0.0108,0.0291
ium_Latn,0.0,0.0,0.0
kbp_Latn,0.0388,0.0073,0.0388
kdi_Latn,0.0485,0.0108,0.0485
gla_Latn,0.0485,0.022,0.0485
vut_Latn,0.0291,0.0042,0.0291
apt_Latn,0.0291,0.0094,0.0291
irk_Latn,0.0485,0.0131,0.0485
aau_Latn,0.0194,0.0092,0.0194
crh_Cyrl,0.1553,0.0428,0.1553
mkd_Cyrl,0.8932,0.4201,0.8932
teo_Latn,0.0291,0.015,0.0291
kpf_Latn,0.0388,0.0152,0.0388
nki_Latn,0.068,0.021,0.068
tos_Latn,0.0388,0.0076,0.0388
lid_Latn,0.0291,0.0081,0.0291
mca_Latn,0.0583,0.0115,0.0583
nng_Latn,0.0388,0.0052,0.0388
bex_Latn,0.0291,0.0073,0.0291
dis_Latn,0.0583,0.0102,0.0583
bfo_Latn,0.0291,0.0094,0.0291
pbb_Latn,0.068,0.0176,0.068
ium_Laoo,0.0,0.0,0.0
gil_Latn,0.0097,0.0031,0.0097
mmo_Latn,0.0097,0.0037,0.0097
yuw_Latn,0.0097,0.0034,0.0097
cas_Latn,0.0388,0.0121,0.0388
gyr_Latn,0.0777,0.0249,0.0777
bkv_Latn,0.0194,0.0042,0.0194
wol_Latn,0.0291,0.0155,0.0291
dad_Latn,0.0485,0.0176,0.0485
eka_Latn,0.0388,0.0136,0.0388
pib_Latn,0.0097,0.0024,0.0097
apw_Latn,0.0485,0.0131,0.0485
hil_Latn,0.4951,0.1564,0.4951
nuy_Latn,0.0388,0.0115,0.0388
las_Latn,0.0291,0.0084,0.0291
cwt_Latn,0.0194,0.01,0.0194
kdj_Latn,0.0194,0.0123,0.0194
maj_Latn,0.068,0.0102,0.068
knv_Latn,0.0,0.0,0.0
smo_Latn,0.0874,0.0239,0.0874
kma_Latn,0.0291,0.01,0.0291
guw_Latn,0.0291,0.0092,0.0291
bgs_Latn,0.0485,0.0186,0.0485
lbj_Tibt,0.0,0.0,0.0
bdd_Latn,0.0194,0.0066,0.0194
cko_Latn,0.0388,0.0073,0.0388
mwm_Latn,0.0194,0.005,0.0194
zad_Latn,0.0583,0.0142,0.0583
gbo_Latn,0.0,0.0,0.0
zsr_Latn,0.0388,0.0157,0.0388
top_Latn,0.0583,0.0118,0.0583
cjp_Latn,0.0777,0.0168,0.0777
dip_Latn,0.0485,0.0155,0.0485
ljp_Latn,0.2233,0.0611,0.2233
esk_Latn,0.0485,0.0123,0.0485
bvr_Latn,0.0291,0.0068,0.0291
mcb_Latn,0.0194,0.0024,0.0194
ceb_Latn,0.5243,0.1763,0.5243
sue_Latn,0.0485,0.0105,0.0485
mzw_Latn,0.0291,0.0113,0.0291
tur_Latn,0.8058,0.3805,0.8058
hnj_Latn,0.0097,0.0018,0.0097
nav_Latn,0.0291,0.0066,0.0291
ksr_Latn,0.0388,0.0058,0.0388
deu_Latn,0.9029,0.4904,0.9029
mog_Latn,0.0485,0.0176,0.0485
faa_Latn,0.0097,0.0008,0.0097
qwh_Latn,0.068,0.0239,0.068
ghs_Latn,0.0097,0.0021,0.0097
mlp_Latn,0.0291,0.0047,0.0291
tbk_Latn,0.0583,0.0139,0.0583
got_Latn,0.0583,0.0265,0.0583
ktu_Latn,0.0194,0.0071,0.0194
tqb_Latn,0.0097,0.0013,0.0097
car_Latn,0.0388,0.0092,0.0388
yva_Latn,0.0485,0.0123,0.0485
hot_Latn,0.0194,0.0034,0.0194
nsa_Latn,0.0485,0.0129,0.0485
kbr_Latn,0.0097,0.0029,0.0097
mmn_Latn,0.0291,0.0113,0.0291
mgr_Latn,0.0485,0.0097,0.0485
huv_Latn,0.0485,0.011,0.0485
tnn_Latn,0.0194,0.0031,0.0194
rar_Latn,0.1068,0.0333,0.1068
aoz_Latn,0.0388,0.0257,0.0388
mwl_Latn,0.7379,0.318,0.7379
zae_Latn,0.0485,0.0121,0.0485
mya_Mymr,0.4078,0.0622,0.4078
heh_Latn,0.0194,0.0094,0.0194
gso_Latn,0.0583,0.0139,0.0583
xuo_Latn,0.0097,0.0037,0.0097
bgr_Latn,0.0485,0.015,0.0485
ebk_Latn,0.068,0.0294,0.068
mak_Latn,0.068,0.0165,0.068
yim_Latn,0.0583,0.016,0.0583
ubr_Latn,0.0485,0.0239,0.0485
dyo_Latn,0.0485,0.0126,0.0485
tih_Latn,0.068,0.0207,0.068
bud_Latn,0.0388,0.0097,0.0388
guj_Gujr,0.6408,0.1787,0.6408
hay_Latn,0.0388,0.0173,0.0388
tlf_Latn,0.0194,0.0008,0.0194
eus_Latn,0.0777,0.0325,0.0777
ary_Arab,0.2718,0.0651,0.2718
tem_Latn,0.0388,0.0121,0.0388
agn_Latn,0.0874,0.0181,0.0874
awa_Deva,0.4563,0.1168,0.4563
atg_Latn,0.0194,0.0058,0.0194
whk_Latn,0.0388,0.011,0.0388
kss_Latn,0.0097,0.0003,0.0097
pne_Latn,0.068,0.0213,0.068
naw_Latn,0.0388,0.0052,0.0388
kuj_Latn,0.0194,0.0039,0.0194
eza_Latn,0.0291,0.0084,0.0291
iri_Latn,0.0194,0.0097,0.0194
