code,Qwen/Qwen3-Embedding-4B_max,Qwen/Qwen3-Embedding-4B_mean,avg
nhe_Latn,0.0388,0.0115,0.0388
ium_Thai,0.0097,0.0016,0.0097
way_Latn,0.0097,0.0013,0.0097
cya_Latn,0.0388,0.0147,0.0388
toh_Latn,0.0291,0.0123,0.0291
bps_Latn,0.0291,0.0092,0.0291
amk_Latn,0.0291,0.0139,0.0291
jae_Latn,0.0583,0.0121,0.0583
yom_Latn,0.0194,0.0047,0.0194
bul_Cyrl,0.9223,0.5038,0.9223
etu_Latn,0.0194,0.0042,0.0194
pua_Latn,0.0291,0.0115,0.0291
bar_Latn,0.2718,0.1052,0.2718
njm_Latn,0.0388,0.0105,0.0388
hch_Latn,0.0097,0.0003,0.0097
guo_Latn,0.1165,0.0199,0.1165
ppo_Latn,0.0097,0.0029,0.0097
urd_Deva,0.8252,0.2955,0.8252
wuv_Latn,0.0777,0.0223,0.0777
bwu_Latn,0.0388,0.0134,0.0388
dru_Latn,0.0388,0.0113,0.0388
gom_Latn,0.068,0.0189,0.068
acf_Latn,0.1068,0.0493,0.1068
rmn_Latn,0.0583,0.0144,0.0583
mhy_Latn,0.1262,0.0428,0.1262
fuv_Latn,0.0388,0.0073,0.0388
mal_Mlym,0.6408,0.1892,0.6408
cak_Latn,0.0583,0.0194,0.0583
ktb_Ethi,0.0097,0.0005,0.0097
plt_Latn,0.0388,0.0171,0.0388
npo_Latn,0.0388,0.0123,0.0388
qvo_Latn,0.0485,0.0189,0.0485
yaa_Latn,0.0388,0.0157,0.0388
mig_Latn,0.068,0.0165,0.068
abx_Latn,0.068,0.0192,0.068
ibo_Latn,0.0388,0.0157,0.0388
myy_Latn,0.0485,0.022,0.0485
hns_Latn,0.0874,0.0286,0.0874
big_Latn,0.0097,0.0016,0.0097
tuk_Latn,0.1262,0.0428,0.1262
dur_Latn,0.0388,0.0055,0.0388
toi_Latn,0.0291,0.0126,0.0291
log_Latn,0.0388,0.0071,0.0388
gaa_Latn,0.0485,0.0239,0.0485
kor_Hang,0.9029,0.4663,0.9029
sig_Latn,0.0194,0.0037,0.0194
bpr_Latn,0.0388,0.0136,0.0388
nhd_Latn,0.0874,0.031,0.0874
dop_Latn,0.0097,0.0039,0.0097
mse_Latn,0.0485,0.0168,0.0485
kan_Knda,0.5049,0.1388,0.5049
prf_Latn,0.0971,0.0265,0.0971
mbd_Latn,0.0291,0.0073,0.0291
lzh_Hani,0.7087,0.3039,0.7087
kno_Latn,0.0,0.0,0.0
sna_Latn,0.0291,0.0155,0.0291
mas_Latn,0.0291,0.0147,0.0291
urt_Latn,0.0485,0.0118,0.0485
nob_Latn,0.8932,0.5366,0.8932
