code,script,fertility,fertility_decoder,tokens_per_char,alignment,num_tokenizers
eza_Latn,Latn,76.168,74.745,0.5132,0.0394,4
faa_Latn,Latn,73.455,74.43,0.3719,0.0074,4
fad_Latn,Latn,54.075,54.51,0.4037,0.0251,4
fai_Latn,Latn,68.14,69.05,0.3663,0.0097,4
fal_Latn,Latn,52.038,51.645,0.4616,0.04,4
fao_Latn,Latn,49.375,52.87,0.3787,0.43,4
far_Latn,Latn,67.19,69.98,0.3753,0.0331,4
ffm_Latn,Latn,52.812,53.675,0.4647,0.0565,4
fij_Latn,Latn,58.015,59.33,0.3784,0.0942,4
fil_Latn,Latn,45.35,49.5,0.3153,0.4712,4
fin_Latn,Latn,41.523,47.855,0.3353,0.6054,4
fon_Latn,Latn,88.052,92.865,0.6702,0.0708,4
for_Latn,Latn,60.93,61.04,0.381,0.0068,4
fra_Latn,Latn,40.227,40.345,0.2963,0.8698,4
fry_Latn,Latn,45.61,46.11,0.3606,0.3038,4
fub_Latn,Latn,52.487,52.495,0.4821,0.0811,4
fuf_Latn,Latn,58.355,59.37,0.4667,0.0474,4
fuh_Latn,Latn,54.38,55.11,0.4748,0.0668,4
fuq_Latn,Latn,55.025,55.59,0.4764,0.0685,4
fuv_Latn,Latn,55.56,55.77,0.4834,0.0765,4
gaa_Latn,Latn,68.485,72.02,0.5661,0.0639,4
gag_Cyrl,Cyrl,58.087,64.555,0.5131,0.1176,4
gag_Latn,Latn,41.965,43.24,0.3707,0.3055,4
gah_Latn,Latn,68.955,71.58,0.3949,0.0103,4
gai_Latn,Latn,87.227,89.075,0.4428,0.0143,4
gam_Latn,Latn,56.567,56.385,0.3752,0.0194,4
gaw_Latn,Latn,81.12,81.71,0.4821,0.0234,4
gbi_Latn,Latn,65.49,67.04,0.3663,0.0274,4
gbo_Latn,Latn,91.02,94.51,0.6396,0.0046,4
gde_Latn,Latn,80.503,86.245,0.5198,0.0223,4
gdg_Latn,Latn,55.66,57.06,0.3677,0.0474,4
gdn_Latn,Latn,86.155,89.78,0.3741,0.0091,4
gdr_Latn,Latn,91.095,94.41,0.498,0.0257,4
gej_Latn,Latn,78.552,79.535,0.6218,0.0474,4
gfk_Latn,Latn,58.075,58.18,0.3593,0.0274,4
ghe_Deva,Deva,76.513,95.575,0.6276,0.0497,4
ghs_Latn,Latn,56.995,58.12,0.383,0.012,4
gid_Latn,Latn,56.922,61.095,0.5085,0.0251,4
gil_Latn,Latn,54.175,54.84,0.3916,0.0308,4
giz_Latn,Latn,56.385,57.79,0.4569,0.0519,4
gjn_Latn,Latn,64.05,67.04,0.4776,0.0245,4
gkn_Latn,Latn,74.73,75.08,0.5768,0.0188,4
gkp_Latn,Latn,84.567,87.505,0.6763,0.0148,4
gla_Latn,Latn,55.797,59.645,0.3809,0.2598,4
gle_Latn,Latn,49.437,54.735,0.3651,0.2907,4
glv_Latn,Latn,54.213,52.135,0.4026,0.0611,4
gnb_Latn,Latn,55.8,55.17,0.4033,0.0445,4
gnd_Latn,Latn,99.46,101.39,0.4942,0.0177,4
gng_Latn,Latn,68.543,70.295,0.5358,0.0228,4
gnn_Latn,Latn,145.39,153.21,0.4703,0.0017,4
gnw_Latn,Latn,79.85,82.48,0.4355,0.0314,4
gof_Latn,Latn,44.333,44.835,0.391,0.0228,4
gog_Latn,Latn,50.623,52.215,0.3891,0.0811,4
