code,cis-lmu/glot500-base_max,cis-lmu/glot500-base_mean,avg
cle_Latn,0.0,0.0,0.0
mpg_Latn,0.0097,0.0015,0.0097
djk_Latn,0.1068,0.0351,0.1068
hat_Latn,0.5534,0.2136,0.5534
che_Cyrl,0.0097,0.0015,0.0097
nnh_Latn,0.0,0.0,0.0
cor_Latn,0.0291,0.0119,0.0291
ots_Latn,0.0097,0.0052,0.0097
mcn_Latn,0.2427,0.0956,0.2427
tam_Taml,0.2621,0.1083,0.2621
tha_Thai,0.0777,0.0246,0.0777
tsg_Latn,0.0097,0.003,0.0097
lsi_Latn,0.0,0.0,0.0
tpp_Latn,0.0,0.0,0.0
ngc_Latn,0.0583,0.0209,0.0583
zyb_Latn,0.0,0.0,0.0
dug_Latn,0.0388,0.0134,0.0388
not_Latn,0.0,0.0,0.0
urb_Latn,0.0,0.0,0.0
gux_Latn,0.0194,0.0067,0.0194
nlc_Latn,0.0,0.0,0.0
aim_Latn,0.0291,0.0112,0.0291
snw_Latn,0.0097,0.0007,0.0097
ajz_Latn,0.0194,0.003,0.0194
nys_Latn,0.0194,0.0119,0.0194
nim_Latn,0.0194,0.009,0.0194
bbr_Latn,0.0097,0.0015,0.0097
njz_Latn,0.0097,0.0015,0.0097
twu_Latn,0.0097,0.003,0.0097
npi_Deva,0.4563,0.2211,0.4563
cbk_Latn,0.3204,0.1426,0.3204
dgr_Latn,0.0,0.0,0.0
nso_Latn,0.4563,0.1426,0.4563
ivv_Latn,0.0194,0.0037,0.0194
kde_Latn,0.0291,0.0097,0.0291
tar_Latn,0.0,0.0,0.0
rmy_Latn,0.2913,0.1247,0.2913
lbk_Latn,0.0194,0.0075,0.0194
aso_Latn,0.0,0.0,0.0
mxp_Latn,0.0,0.0,0.0
kud_Latn,0.0097,0.0015,0.0097
arp_Latn,0.0291,0.0082,0.0291
ian_Latn,0.0,0.0,0.0
kez_Latn,0.0097,0.0007,0.0097
tcz_Latn,0.0291,0.0157,0.0291
kaz_Cyrl,0.5437,0.224,0.5437
shn_Mymr,0.0,0.0,0.0
miq_Latn,0.2816,0.0956,0.2816
lem_Latn,0.0,0.0,0.0
hmr_Latn,0.1262,0.0456,0.1262
lus_Latn,0.3592,0.1068,0.3592
kpj_Latn,0.0194,0.0045,0.0194
nhr_Latn,0.0,0.0,0.0
gaw_Latn,0.0,0.0,0.0
loq_Latn,0.0194,0.0082,0.0194
met_Latn,0.0291,0.006,0.0291
bss_Latn,0.0,0.0,0.0
tlh_Latn,0.7379,0.351,0.7379
tif_Latn,0.0,0.0,0.0
ake_Latn,0.0,0.0,0.0
tzo_Latn,0.0097,0.0015,0.0097
zaj_Latn,0.0485,0.0224,0.0485
mwc_Latn,0.0194,0.0045,0.0194
hvn_Latn,0.0097,0.0022,0.0097
tna_Latn,0.0097,0.0007,0.0097
kha_Latn,0.0097,0.0007,0.0097
mbs_Latn,0.0097,0.003,0.0097
kmo_Latn,0.0,0.0,0.0
btt_Latn,0.0097,0.0007,0.0097
izr_Latn,0.0,0.0,0.0
gag_Cyrl,0.068,0.0329,0.068
mad_Latn,0.1748,0.0702,0.1748
ayr_Latn,0.2816,0.0881,0.2816
gvn_Latn,0.0097,0.0015,0.0097
nou_Latn,0.0291,0.0105,0.0291
aze_Latn,0.7379,0.3577,0.7379
apy_Latn,0.0,0.0,0.0
mxq_Latn,0.0,0.0,0.0
wob_Latn,0.0,0.0,0.0
eko_Latn,0.0097,0.0037,0.0097
npy_Latn,0.0097,0.0052,0.0097
sbs_Latn,0.0485,0.0119,0.0485
crt_Latn,0.0,0.0,0.0
urd_Arab,0.2233,0.0986,0.2233
nsn_Latn,0.0,0.0,0.0
srm_Latn,0.0971,0.0358,0.0971
ojb_Latn,0.0,0.0,0.0
ttc_Latn,0.0097,0.0045,0.0097
tvk_Latn,0.0,0.0,0.0
tab_Cyrl,0.0,0.0,0.0
due_Latn,0.0194,0.0052,0.0194
fao_Latn,0.8738,0.4197,0.8738
csk_Latn,0.0097,0.0022,0.0097
gnd_Latn,0.0,0.0,0.0
suz_Deva,0.1262,0.0388,0.1262
suk_Latn,0.0291,0.0119,0.0291
kue_Latn,0.0,0.0,0.0
ons_Latn,0.0,0.0,0.0
buk_Latn,0.0097,0.0007,0.0097
otq_Latn,0.0097,0.0007,0.0097
ese_Latn,0.0,0.0,0.0
kog_Latn,0.0,0.0,0.0
meu_Latn,0.4757,0.1972,0.4757
bcl_Latn,0.6019,0.2487,0.6019
fra_Latn,0.6602,0.3682,0.6602
tee_Latn,0.0,0.0,0.0
yaq_Latn,0.0,0.0,0.0
bon_Latn,0.0,0.0,0.0
cek_Latn,0.0,0.0,0.0
kub_Latn,0.0,0.0,0.0
nmz_Latn,0.0,0.0,0.0
alt_Cyrl,0.4854,0.1867,0.4854
mck_Latn,0.4175,0.1591,0.4175
lin_Latn,0.5825,0.2293,0.5825
zpl_Latn,0.0097,0.0022,0.0097
mfe_Latn,0.6699,0.3055,0.6699
anm_Latn,0.0097,0.0015,0.0097
kyg_Latn,0.0,0.0,0.0
zam_Latn,0.0,0.0,0.0
vie_Latn,0.5825,0.2621,0.5825
chq_Latn,0.0,0.0,0.0
nyu_Latn,0.3495,0.1449,0.3495
mbt_Latn,0.0,0.0,0.0
bts_Latn,0.5825,0.2121,0.5825
azb_Latn,0.6893,0.3167,0.6893
bgz_Latn,0.0097,0.003,0.0097
mar_Deva,0.7864,0.3816,0.7864
urd_Latn,0.0194,0.0037,0.0194
cnh_Latn,0.2816,0.0874,0.2816
mxv_Latn,0.0,0.0,0.0
kwj_Latn,0.0097,0.0007,0.0097
cgc_Latn,0.0097,0.0045,0.0097
sgz_Latn,0.0097,0.0007,0.0097
tbc_Latn,0.0097,0.006,0.0097
kdc_Latn,0.0485,0.0194,0.0485
crs_Latn,0.6505,0.2928,0.6505
kru_Deva,0.0,0.0,0.0
kqs_Latn,0.0097,0.0015,0.0097
por_Latn,0.8447,0.4608,0.8447
lsm_Latn,0.0194,0.009,0.0194
pkb_Latn,0.0291,0.0134,0.0291
ndp_Latn,0.0194,0.0045,0.0194
tpt_Latn,0.0,0.0,0.0
cut_Latn,0.0097,0.0007,0.0097
iqw_Latn,0.0194,0.0097,0.0194
ses_Latn,0.0097,0.006,0.0097
yap_Latn,0.0388,0.0202,0.0388
gnb_Latn,0.0291,0.0082,0.0291
ted_Latn,0.0,0.0,0.0
fai_Latn,0.0,0.0,0.0
agg_Latn,0.0,0.0,0.0
biv_Latn,0.0194,0.0105,0.0194
vap_Latn,0.068,0.0344,0.068
kyf_Latn,0.0,0.0,0.0
nhu_Latn,0.0,0.0,0.0
zpm_Latn,0.0,0.0,0.0
kix_Latn,0.0,0.0,0.0
sja_Latn,0.0097,0.0007,0.0097
qxr_Latn,0.4175,0.1397,0.4175
akb_Latn,0.1359,0.0612,0.1359
klv_Latn,0.0097,0.0015,0.0097
bum_Latn,0.2039,0.0859,0.2039
bfd_Latn,0.0,0.0,0.0
pbi_Latn,0.0097,0.0007,0.0097
tzh_Latn,0.0583,0.0194,0.0583
nnl_Latn,0.0097,0.0007,0.0097
nld_Latn,0.8932,0.5325,0.8932
snp_Latn,0.0097,0.0037,0.0097
shi_Latn,0.0,0.0,0.0
ald_Latn,0.0,0.0,0.0
mwe_Latn,0.0291,0.009,0.0291
vid_Latn,0.0388,0.0127,0.0388
nij_Latn,0.0291,0.0127,0.0291
wca_Latn,0.0,0.0,0.0
tte_Latn,0.0,0.0,0.0
emp_Latn,0.0,0.0,0.0
eng_Latn,1.0,1.0,1.0
kal_Latn,0.0777,0.0351,0.0777
sab_Latn,0.0,0.0,0.0
oym_Latn,0.0,0.0,0.0
quh_Latn,0.6019,0.2405,0.6019
gid_Latn,0.0097,0.0022,0.0097
tgl_Latn,0.699,0.3697,0.699
mhi_Latn,0.0194,0.0045,0.0194
tuk_Cyrl,0.6505,0.2472,0.6505
bnp_Latn,0.0291,0.0112,0.0291
swe_Latn,0.7961,0.4653,0.7961
fuf_Latn,0.0291,0.0142,0.0291
imo_Latn,0.0,0.0,0.0
bci_Latn,0.0097,0.0022,0.0097
waj_Latn,0.0,0.0,0.0
dob_Latn,0.0097,0.0015,0.0097
jvn_Latn,0.1359,0.0478,0.1359
nno_Latn,0.7864,0.4466,0.7864
aii_Syrc,0.0,0.0,0.0
sun_Latn,0.2621,0.1143,0.2621
myk_Latn,0.0,0.0,0.0
nds_Latn,0.2427,0.1083,0.2427
ssw_Latn,0.3398,0.1426,0.3398
prs_Arab,0.7476,0.4085,0.7476
biu_Latn,0.0777,0.0261,0.0777
pmx_Latn,0.0194,0.0022,0.0194
agd_Latn,0.0,0.0,0.0
tgo_Latn,0.0,0.0,0.0
kao_Latn,0.0291,0.009,0.0291
crq_Latn,0.0,0.0,0.0
cax_Latn,0.0097,0.0022,0.0097
plg_Latn,0.0,0.0,0.0
ncu_Latn,0.0097,0.0007,0.0097
yrk_Cyrl,0.0097,0.0007,0.0097
hig_Latn,0.0,0.0,0.0
stq_Latn,0.0583,0.0366,0.0583
mxt_Latn,0.0097,0.0022,0.0097
tav_Latn,0.0,0.0,0.0
cth_Latn,0.0097,0.0037,0.0097
acu_Latn,0.0,0.0,0.0
maa_Latn,0.0097,0.0037,0.0097
dks_Latn,0.0194,0.0067,0.0194
nop_Latn,0.0097,0.0022,0.0097
nlg_Latn,0.0097,0.0045,0.0097
nii_Latn,0.0,0.0,0.0
zao_Latn,0.0,0.0,0.0
jav_Latn,0.3495,0.1202,0.3495
shj_Latn,0.0,0.0,0.0
som_Latn,0.2136,0.0807,0.2136
cot_Latn,0.0,0.0,0.0
ikw_Latn,0.0194,0.0082,0.0194
xrb_Latn,0.0,0.0,0.0
beq_Latn,0.0291,0.0127,0.0291
tzj_Latn,0.0097,0.0007,0.0097
ckt_Cyrl,0.0,0.0,0.0
nhw_Latn,0.0583,0.0142,0.0583
bch_Latn,0.0194,0.0134,0.0194
