code,Qwen/Qwen3-8B-Base_max,Qwen/Qwen3-8B-Base_mean,avg
pbc_Latn,0.0194,0.0071,0.0194
mug_Latn,0.0194,0.0092,0.0194
mvp_Latn,0.0291,0.0131,0.0291
syb_Latn,0.0291,0.0092,0.0291
kje_Latn,0.0194,0.0092,0.0194
arz_Arab,0.5049,0.2173,0.5049
agm_Latn,0.0,0.0,0.0
mhr_Cyrl,0.0291,0.0073,0.0291
bjk_Latn,0.0291,0.0113,0.0291
ksp_Latn,0.0194,0.0037,0.0194
kpg_Latn,0.0291,0.0121,0.0291
ojs_Cans,0.0,0.0,0.0
atd_Latn,0.0291,0.0084,0.0291
nbc_Latn,0.0291,0.0079,0.0291
srp_Cyrl,0.6117,0.2359,0.6117
myb_Latn,0.0194,0.0047,0.0194
ndz_Latn,0.0194,0.0024,0.0194
kew_Latn,0.0097,0.0013,0.0097
sey_Latn,0.0194,0.0076,0.0194
quc_Latn,0.0194,0.006,0.0194
ium_Latn,0.0097,0.0005,0.0097
kbp_Latn,0.0194,0.0058,0.0194
bku_Latn,0.0291,0.0087,0.0291
cap_Latn,0.0194,0.0029,0.0194
lww_Latn,0.0097,0.0016,0.0097
enl_Latn,0.0194,0.011,0.0194
yut_Latn,0.0097,0.0024,0.0097
hla_Latn,0.0097,0.0034,0.0097
wiv_Latn,0.0291,0.0134,0.0291
apt_Latn,0.0194,0.0034,0.0194
kdi_Latn,0.0194,0.0087,0.0194
gla_Latn,0.068,0.0197,0.068
vut_Latn,0.0194,0.0016,0.0194
aia_Latn,0.0291,0.0068,0.0291
sml_Latn,0.0194,0.0045,0.0194
gej_Latn,0.0291,0.0094,0.0291
gvc_Latn,0.0194,0.0045,0.0194
nia_Latn,0.0194,0.0047,0.0194
syc_Syrc,0.068,0.0157,0.068
tos_Latn,0.0194,0.0013,0.0194
nki_Latn,0.0097,0.0042,0.0097
nng_Latn,0.0097,0.001,0.0097
bex_Latn,0.0097,0.0016,0.0097
dis_Latn,0.0194,0.0029,0.0194
bfo_Latn,0.0097,0.0029,0.0097
pbb_Latn,0.0194,0.006,0.0194
lid_Latn,0.0194,0.0024,0.0194
mca_Latn,0.0194,0.0047,0.0194
irk_Latn,0.0291,0.0079,0.0291
aau_Latn,0.0194,0.0031,0.0194
crh_Cyrl,0.0583,0.0142,0.0583
kpf_Latn,0.0194,0.0045,0.0194
mkd_Cyrl,0.7476,0.302,0.7476
teo_Latn,0.0291,0.0097,0.0291
guw_Latn,0.0097,0.0031,0.0097
bgs_Latn,0.0388,0.011,0.0388
lbj_Tibt,0.0097,0.0005,0.0097
bdd_Latn,0.0194,0.0029,0.0194
maj_Latn,0.0194,0.0039,0.0194
knv_Latn,0.0097,0.0005,0.0097
smo_Latn,0.0291,0.0076,0.0291
kma_Latn,0.0194,0.0047,0.0194
cko_Latn,0.0291,0.005,0.0291
zad_Latn,0.0194,0.0066,0.0194
mwm_Latn,0.0,0.0,0.0
yuw_Latn,0.0097,0.0005,0.0097
cas_Latn,0.0097,0.0024,0.0097
gyr_Latn,0.0194,0.0092,0.0194
bkv_Latn,0.0097,0.0003,0.0097
ium_Laoo,0.0,0.0,0.0
gil_Latn,0.0097,0.0003,0.0097
mmo_Latn,0.0097,0.001,0.0097
nuy_Latn,0.0194,0.005,0.0194
las_Latn,0.0194,0.0018,0.0194
cwt_Latn,0.0194,0.0055,0.0194
kdj_Latn,0.0291,0.01,0.0291
wol_Latn,0.0194,0.0068,0.0194
dad_Latn,0.0194,0.0034,0.0194
eka_Latn,0.0194,0.0037,0.0194
pib_Latn,0.0097,0.0005,0.0097
hil_Latn,0.3689,0.1359,0.3689
apw_Latn,0.0194,0.0066,0.0194
ceb_Latn,0.3981,0.1477,0.3981
mzw_Latn,0.0194,0.0055,0.0194
sue_Latn,0.0194,0.0031,0.0194
mog_Latn,0.0194,0.0097,0.0194
qwh_Latn,0.0194,0.0076,0.0194
faa_Latn,0.0,0.0,0.0
ghs_Latn,0.0097,0.0008,0.0097
mlp_Latn,0.0097,0.0026,0.0097
tur_Latn,0.4078,0.1435,0.4078
hnj_Latn,0.0194,0.0024,0.0194
nav_Latn,0.0097,0.0003,0.0097
ksr_Latn,0.0097,0.0003,0.0097
deu_Latn,0.6699,0.3183,0.6699
cjp_Latn,0.0291,0.0084,0.0291
gbo_Latn,0.0097,0.0018,0.0097
zsr_Latn,0.0194,0.0092,0.0194
top_Latn,0.0097,0.0005,0.0097
esk_Latn,0.0097,0.0029,0.0097
ljp_Latn,0.068,0.0299,0.068
bvr_Latn,0.0194,0.0047,0.0194
mcb_Latn,0.0,0.0,0.0
dip_Latn,0.0291,0.0068,0.0291
zae_Latn,0.0291,0.0073,0.0291
mwl_Latn,0.3495,0.1462,0.3495
mya_Mymr,0.0583,0.006,0.0583
heh_Latn,0.0194,0.0058,0.0194
gso_Latn,0.0291,0.0087,0.0291
xuo_Latn,0.0097,0.0016,0.0097
mgr_Latn,0.0291,0.0042,0.0291
huv_Latn,0.0291,0.0089,0.0291
tnn_Latn,0.0097,0.0005,0.0097
rar_Latn,0.0485,0.0131,0.0485
aoz_Latn,0.0291,0.0136,0.0291
mak_Latn,0.0291,0.01,0.0291
yim_Latn,0.0194,0.0029,0.0194
ubr_Latn,0.0097,0.006,0.0097
bgr_Latn,0.0194,0.0029,0.0194
ebk_Latn,0.0291,0.0126,0.0291
ktu_Latn,0.0194,0.006,0.0194
tqb_Latn,0.0,0.0,0.0
tbk_Latn,0.0291,0.0102,0.0291
got_Latn,0.0388,0.0163,0.0388
nsa_Latn,0.0194,0.0047,0.0194
kbr_Latn,0.0097,0.0013,0.0097
mmn_Latn,0.0388,0.0084,0.0388
car_Latn,0.0194,0.0042,0.0194
yva_Latn,0.0194,0.0063,0.0194
hot_Latn,0.0097,0.0003,0.0097
atg_Latn,0.0097,0.0018,0.0097
whk_Latn,0.0291,0.0071,0.0291
kss_Latn,0.0,0.0,0.0
naw_Latn,0.0194,0.0016,0.0194
pne_Latn,0.0291,0.0113,0.0291
tem_Latn,0.0194,0.0026,0.0194
agn_Latn,0.0485,0.0134,0.0485
awa_Deva,0.0583,0.0178,0.0583
eza_Latn,0.0291,0.0047,0.0291
iri_Latn,0.0291,0.0068,0.0291
kuj_Latn,0.0097,0.0003,0.0097
guj_Gujr,0.1553,0.0478,0.1553
hay_Latn,0.0291,0.0084,0.0291
dyo_Latn,0.0291,0.0073,0.0291
tih_Latn,0.0291,0.0118,0.0291
bud_Latn,0.0194,0.0055,0.0194
tlf_Latn,0.0,0.0,0.0
eus_Latn,0.068,0.0197,0.068
ary_Arab,0.068,0.0152,0.068
