code,Qwen/Qwen3-8B-Base_max,Qwen/Qwen3-8B-Base_mean,avg
nnp_Latn,0.0097,0.0021,0.0097
guc_Latn,0.0291,0.0081,0.0291
mrw_Latn,0.0194,0.0034,0.0194
tku_Latn,0.0194,0.0071,0.0194
mbi_Latn,0.0194,0.0034,0.0194
xsr_Deva,0.0194,0.0039,0.0194
shu_Latn,0.068,0.0168,0.068
xed_Latn,0.0097,0.0031,0.0097
ilo_Latn,0.1262,0.0328,0.1262
dgi_Latn,0.0097,0.0013,0.0097
ncj_Latn,0.0291,0.0089,0.0291
cag_Latn,0.0291,0.011,0.0291
qvc_Latn,0.0194,0.0031,0.0194
dww_Latn,0.0291,0.0071,0.0291
crn_Latn,0.0097,0.0003,0.0097
ldi_Latn,0.0194,0.0068,0.0194
nst_Latn,0.0097,0.0037,0.0097
tgp_Latn,0.0291,0.0115,0.0291
glv_Latn,0.0291,0.0094,0.0291
hix_Latn,0.0,0.0,0.0
stn_Latn,0.0194,0.0042,0.0194
ory_Orya,0.1262,0.0226,0.1262
mur_Latn,0.0194,0.0026,0.0194
obo_Latn,0.0194,0.0052,0.0194
ind_Latn,0.835,0.4356,0.835
msk_Latn,0.0583,0.016,0.0583
dig_Latn,0.0485,0.0184,0.0485
lip_Latn,0.0194,0.0039,0.0194
mcu_Latn,0.0194,0.0058,0.0194
xav_Latn,0.0,0.0,0.0
sop_Latn,0.0097,0.0003,0.0097
kff_Telu,0.0097,0.0005,0.0097
yao_Latn,0.0194,0.0026,0.0194
cuk_Latn,0.0291,0.011,0.0291
