code,Qwen/Qwen3-0.6B_max,Qwen/Qwen3-0.6B_mean,avg
tue_Latn,0.0194,0.003,0.0194
uig_Arab,0.0097,0.0003,0.0097
uvl_Latn,0.0097,0.002,0.0097
gah_Latn,0.0097,0.0013,0.0097
zpu_Latn,0.0097,0.0037,0.0097
tiy_Latn,0.0097,0.001,0.0097
mcr_Latn,0.0291,0.0017,0.0291
hra_Latn,0.0194,0.0037,0.0194
con_Latn,0.0291,0.006,0.0291
lif_Deva,0.0,0.0,0.0
bak_Cyrl,0.0097,0.0013,0.0097
cly_Latn,0.0194,0.0044,0.0194
wnc_Latn,0.0,0.0,0.0
ron_Latn,0.301,0.076,0.301
cul_Latn,0.0097,0.0003,0.0097
min_Latn,0.0291,0.0094,0.0291
ita_Latn,0.6602,0.2852,0.6602
cpb_Latn,0.0097,0.0017,0.0097
adh_Latn,0.0097,0.003,0.0097
ksb_Latn,0.0097,0.0007,0.0097
naf_Latn,0.0097,0.0003,0.0097
nbq_Latn,0.0097,0.0017,0.0097
cac_Latn,0.0194,0.0027,0.0194
cbt_Latn,0.0097,0.001,0.0097
qup_Latn,0.0097,0.0007,0.0097
kbc_Latn,0.0097,0.0003,0.0097
lac_Latn,0.0097,0.004,0.0097
tbz_Latn,0.0097,0.0003,0.0097
acn_Latn,0.0097,0.0003,0.0097
pir_Latn,0.0097,0.001,0.0097
gug_Latn,0.0194,0.001,0.0194
knf_Latn,0.0,0.0,0.0
maz_Latn,0.0097,0.005,0.0097
jam_Latn,0.0291,0.007,0.0291
tyv_Cyrl,0.0097,0.0013,0.0097
mtj_Latn,0.0194,0.0074,0.0194
zat_Latn,0.0097,0.0054,0.0097
msm_Latn,0.0194,0.0037,0.0194
pag_Latn,0.0291,0.0057,0.0291
otn_Latn,0.0194,0.0027,0.0194
gdg_Latn,0.0097,0.002,0.0097
mej_Latn,0.0194,0.008,0.0194
gai_Latn,0.0097,0.001,0.0097
yml_Latn,0.0097,0.0013,0.0097
kia_Latn,0.0097,0.0017,0.0097
zpt_Latn,0.0194,0.003,0.0194
inb_Latn,0.0097,0.0023,0.0097
wap_Latn,0.0097,0.0003,0.0097
ksc_Latn,0.0194,0.0077,0.0194
ded_Latn,0.0,0.0,0.0
fry_Latn,0.068,0.0084,0.068
zia_Latn,0.0097,0.0007,0.0097
tuc_Latn,0.0194,0.0077,0.0194
cpc_Latn,0.0097,0.002,0.0097
adi_Latn,0.0194,0.0044,0.0194
roo_Latn,0.0,0.0,0.0
iry_Latn,0.0097,0.005,0.0097
mio_Latn,0.0097,0.001,0.0097
tpm_Latn,0.0097,0.003,0.0097
bov_Latn,0.0097,0.003,0.0097
ndi_Latn,0.0097,0.002,0.0097
arn_Latn,0.0194,0.0037,0.0194
ces_Latn,0.3107,0.0676,0.3107
tsz_Latn,0.0097,0.0054,0.0097
pis_Latn,0.0097,0.003,0.0097
old_Latn,0.0097,0.001,0.0097
cwe_Latn,0.0097,0.002,0.0097
sgb_Latn,0.0097,0.002,0.0097
sbl_Latn,0.0097,0.0013,0.0097
dwr_Latn,0.0194,0.0057,0.0194
cab_Latn,0.0097,0.0007,0.0097
bhp_Latn,0.0097,0.0017,0.0097
emi_Latn,0.0097,0.0007,0.0097
cbu_Latn,0.0,0.0,0.0
sxn_Latn,0.0097,0.0044,0.0097
kki_Latn,0.0097,0.0003,0.0097
