code,Qwen/Qwen3-4B_max,Qwen/Qwen3-4B_mean,avg
mbc_Latn,0.0097,0.001,0.0097
btd_Latn,0.0194,0.0066,0.0194
for_Latn,0.0,0.0,0.0
snf_Latn,0.0097,0.0055,0.0097
jac_Latn,0.0194,0.0016,0.0194
hui_Latn,0.0097,0.0008,0.0097
bqj_Latn,0.0194,0.006,0.0194
bbc_Latn,0.0194,0.0055,0.0194
chf_Latn,0.0194,0.0052,0.0194
rus_Cyrl,0.7476,0.4057,0.7476
dow_Latn,0.0097,0.0042,0.0097
mee_Latn,0.0097,0.0016,0.0097
ton_Latn,0.0,0.0,0.0
amm_Latn,0.0,0.0,0.0
kin_Latn,0.0097,0.0029,0.0097
tuk_Arab,0.0097,0.0018,0.0097
esu_Latn,0.0194,0.0058,0.0194
soy_Latn,0.0,0.0,0.0
msb_Latn,0.0874,0.0312,0.0874
pah_Latn,0.0,0.0,0.0
rub_Latn,0.0,0.0,0.0
ava_Cyrl,0.0097,0.0005,0.0097
tgk_Cyrl,0.0291,0.006,0.0291
kek_Latn,0.0194,0.0066,0.0194
mjw_Latn,0.0194,0.0089,0.0194
cub_Latn,0.0097,0.0026,0.0097
hne_Deva,0.0291,0.0076,0.0291
zyp_Latn,0.0097,0.0008,0.0097
ter_Latn,0.0097,0.0029,0.0097
cce_Latn,0.0194,0.006,0.0194
fuq_Latn,0.0097,0.0016,0.0097
wos_Latn,0.0097,0.0003,0.0097
aca_Latn,0.0194,0.0047,0.0194
ozm_Latn,0.0097,0.0005,0.0097
nph_Latn,0.0097,0.0013,0.0097
qvh_Latn,0.0194,0.006,0.0194
bki_Latn,0.0,0.0,0.0
nca_Latn,0.0,0.0,0.0
pls_Latn,0.0194,0.0066,0.0194
kqe_Latn,0.0097,0.0026,0.0097
tnp_Latn,0.0097,0.0003,0.0097
ewe_Latn,0.0097,0.001,0.0097
udu_Latn,0.0097,0.0003,0.0097
fij_Latn,0.0,0.0,0.0
jbu_Latn,0.0097,0.0003,0.0097
mbb_Latn,0.0097,0.0005,0.0097
mau_Latn,0.0097,0.0016,0.0097
guh_Latn,0.0097,0.0042,0.0097
chv_Cyrl,0.0097,0.0013,0.0097
hag_Latn,0.0097,0.0003,0.0097
mpt_Latn,0.0,0.0,0.0
est_Latn,0.2427,0.0764,0.2427
too_Latn,0.0097,0.0039,0.0097
gag_Latn,0.1262,0.0472,0.1262
zsm_Latn,0.0971,0.0344,0.0971
bsc_Latn,0.0097,0.0005,0.0097
zpz_Latn,0.0097,0.0008,0.0097
kzf_Latn,0.0097,0.0058,0.0097
xtn_Latn,0.0194,0.0055,0.0194
wbi_Latn,0.0097,0.0029,0.0097
kyq_Latn,0.0,0.0,0.0
dov_Latn,0.0097,0.0052,0.0097
aze_Cyrl,0.0097,0.0013,0.0097
cjo_Latn,0.0097,0.0026,0.0097
bjv_Latn,0.0,0.0,0.0
vag_Latn,0.0097,0.0029,0.0097
tum_Latn,0.0097,0.0031,0.0097
kpz_Latn,0.0097,0.0018,0.0097
bzh_Latn,0.0194,0.0039,0.0194
zho_Hani,0.5631,0.2167,0.5631
jiv_Latn,0.0,0.0,0.0
mox_Latn,0.0097,0.001,0.0097
aai_Latn,0.0097,0.0021,0.0097
cuc_Latn,0.0097,0.0008,0.0097
krc_Cyrl,0.0194,0.0018,0.0194
